# doc_id=0-LST-0001-1 discipline=0 revision=R0
col_0,Plant,col_2,col_3,col_4,Document Register,col_6,col_7,col_8,Standard-0-LST-0001-1-R0,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
,Location,,,,,,,,Client Document Number,,,,,,,,,,,
,Document Number,,,,,,As,WBS,Qty,,,Document Status,,,,,Subcontract Documents,,,
,Area,Type,Number,Codelco dwg #,Title,Remarks,Built,Area,Dwgs,S1,S2,S3,S4,S7,6100.0,6200.0,6300.0,6400.0,6500.0,6600.0
,0.0,,0xxx,,0-0 Documentation,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,0.0,LST,0001,00 LST 0 01 528,Document Register,,,,1.0,,,,,,,,,,,
,0.0,LST,0002,,Document Distribution List,,,,1.0,,,,,,,,,,,
,0.0,LST,000x,,,,,,,,,,,,,,,,,
,,,,70 SPC 0 18 513,,,,,,,,,,,,,,,,
,,MAN,,70 SPC 0 19,,,,,,,,,,,,,,,,
,0.0,MAN,0004,70 SPC 0 20 518,Equipment Manual,,,,1.0,,,,,,,,,,,
,0.0,MAN,0005,70 SPC 0 21 515,Piping Manual,,,,1.0,,,,,,,,,,,
,0.0,MAN,0008,70 SPC 0 20 518,Instrument Manual,,,,1.0,,,,,,,,,,,
,0.0,MAN,0009,70 SPC 0 21 515,Electrical Equipment Manual,,,,1.0,,,,,,,,,,,
,,,,70 SPC 0 08 66,,,,,,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0.0,PRC,0001,,Approval and Use of Standards,,,,1.0,,,,,,,,,,,
,0.0,PRC,0002,70 SPC 0 12 72,Document Numbering,,,,1.0,,,,,,,,,,,
,0.0,PRC,0003,70 SPC 0 16 512,File Structure,,,,1.0,,,,,,,,,,,
,0.0,PRC,0004,,Style of Textual Documents,,,,1.0,,,,,,,,,,,
,0.0,PRC,0005,,Publishing of Project Documents,,,,1.0,,,,,,,,,,,
,0.0,PRC,0006,,Control of Project Documentation,,,,1.0,,,,,,,,,,,
,0.0,PRC,0007,,Review of Vendor Documentation,,,,1.0,,,,,,,,,,,
,0.0,PRC,0009,,Equipment Drawing Standards,,,,1.0,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,0.0,SPC,0001,20 SPC 0 01 629,Vendor Document Supply,,,,1.0,,,,,,,,,,,
,0.0,SPC,0002,70 SPC 0 01 61,[Template] Engineering Subcontractor Document Supply,,,,1.0,,,,,,,,,,,
,,,2xxx,,0-2 Project Administration,,,,,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,0.0,LST,2001,,Engineering Scope Checklist,,,,1.0,,,,,,,,,,,
,0.0,LST,2002,,Supply and Erection Scope Checklist,,,,1.0,,,,,,,,,,,
,0.0,LST,2003,,Field Services Scope Checklist,,,,1.0,,,,,,,,,,,
,0.0,LST,2004,,[Template] Project Responsibility,,,,1.0,,,,,,,,,,,
,0.0,LST,2005,,[Template] Key Contract Provisions,,,,1.0,,,,,,,,,,,
,0.0,LST,2006,,Project Risk Analysis,,,,1.0,,,,,,,,,,,
,,,,70 SPC 0 18 513,,,,,,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0.0,PRC,2001,70 SPC 0 12 72,Assignment of Project Responsibilities,,,,1.0,,,,,,,,,,,
,0.0,PRC,2002,,Project Instructions,,,,1.0,,,,,,,,,,,
,0.0,PRC,2003,70 SPC 0 12 72,Project Execution Plan,,,,1.0,,,,,,,,,,,
,0.0,PRC,2004,70 SPC 0 12 72,Project Coordination Procedure,,,,1.0,,,,,,,,,,,
,0.0,PRC,2005,70 SPC 0 16 512,Project Responsibility,,,,1.0,,,,,,,,,,,
,0.0,PRC,2012,70 SPC 0 16 512,Project Reporting,,,,1.0,,,,,,,,,,,
,,REP,,,,,,,,,,,,,,,,,,
,0.0,REP,2001.0,,Monthly Progress Report,,,-,1.0,,,,,,,,,,,
,,REQ,,,,,,,,,,,,,,,,,,
,0.0,REQ,200x,,Engineering and Miscellaneous Requisitions,,,,,,,,,,,,,,,
,0.0,REQ,200x,,,,,,,,,,,,,,,,,
,,SPC,,,,,,,,,,,,,,,,,,
,0.0,SPC,2201,20 SPC 0 01 629,Standard Conditions for Engineering Subcontract,,,,1.0,,,,,,,,,,,
,0.0,SPC,2202-1,,[Template] Special Conditions for Engineering Subcontract,,,,1.0,,,,,,,,,,,
,0.0,SPC,2202-2,,[Template] Special Conditions for Engineering Subcontract,,,,1.0,,,,,,,,,,,
,0.0,SPC,2203,,Instructions to Engineering Subcontractors for Tender,,,,1.0,,,,,,,,,,,
,0.0,SPC,2204,,[Template] Engineering Subcontractor Coordination,,,,1.0,,,,,,,,,,,
,0.0,SPC,2205,70 SPC 0 01 61,Standard Conditions for Engineering Subcontracts,,,,1.0,,,,,,,,,,,
,,,,70 SPC 0 08 66,,,,,,,,,,,,,,,,
,,SUB,,,,,,,,,,,,,,,,,,
,0.0,SUB,22XX,,[Template] Engineering Subcontract Agreement,,,,1.0,,,,,,,,,,,
,0.0,SUB,240X,,(Template) Engineering Services Agreement,,,,1.0,,,,,,,,,,,
,0.0,SUB,270X,,(Template) 3rd Party Inspection Services Agreem,,,,1.0,,,,,,,,,,,
,0.0,SUB,250X,,(Template) Logistics Services Agreement,,,,1.0,,,,,,,,,,,
,0.0,SUB,240X,,(Template) On-Site Services Agreement,,,,1.0,,,,,,,,,,,
,,TAB,,,,,,,,,,,,,,,,,,
,0.0,TAB,200x,,Engineering and Miscellaeous Bid Tabs,PO's,,,1.0,,,,,,,,,,,
,0.0,TAB,200x,,,PO's,,,1.0,,,,,,,,,,,
,0.0,TAB,2x00,,,Subcontracts,,,1.0,,,,,,,,,,,
,0.0,TAB,2x00,,,Subcontracts,,,1.0,,,,,,,,,,,
,,,3xxx,,0-3 Planning,,,,,,,,,,,,,,,
,,DAT,,,,,,,,,,,,,,,,,,
,0.0,DAT,3001.0,,Project Schedule,,,,1.0,,,,,,,,,,,
,0.0,DAT,3002.0,,Project Resource Management,,,,1.0,,,,,,,,,,,
,,,,70 SPC 0 08 66,,,,,,,,,,,,,,,,
,,PRC,,70 SPC 0 10 517,,,,,,,,,,,,,,,,
,0.0,PRC,3001,70 SPC 0 12 72,Project Planning,,,,1.0,,,,,,,,,,,
,0.0,PRC,3002,70 SPC 0 16 512,Project Scheduling,,,,1.0,,,,,,,,,,,
,0.0,PRC,3003,,Project Resource Management,,,,1.0,,,,,,,,,,,
,,,4xxx,,0-4 Cost Control,,,,,,,,,,,,,,,
,,DAT,,,,,,,,,,,,,,,,,,
,0.0,DAT,4001.0,,Project Budget,,,,1.0,,,,,,,,,,,
