# doc_id=0-LST-22 discipline=0 revision=R0
Our Scope: B/C/D,Selection,col_2,col_3,col_4,Position,Key Staff,Hourly Rate
D,x,,,,,,
,x,,,,,,
D,x,,,,,,
D,x,,,,,,
,x,,,,,,
,x,,,,,,
,x,,,,,,
B,,,,,,,
0.0,x,,,,,,
B,,,,,,,
,x,,,,,,
D,x,,,,,,
0.0,x,,,,,,
0.0,x,,,,,,
B,,,,,,,
B,,,,,,,
,x,,,,,,
,x,,,,,,
,23,,,,,,
0.0,x,,,,,,
0.0,x,,,,,,
0.0,x,,,,,,
0.0,x,,,,,,
D,x,,,,,,
,x,,,,,,
0.0,x,,,,,,
,x,,,,,,
,x,,,,,,
D,x,,,,,,
0.0,,,,,,,
,x,,,,,,
,x,,,,,,
,x,,,,,,
,x,,,,,,
0.0,x,,,,,,
,23,,,,,,
B,,,,,,,
D,x,,,,,,
0.0,x,,,,,,
D,x,,,,,,
,x,,,,,,
,x,,,,,,
B,,,,,,,
0.0,x,,,,,,
B,,,,,,,
B,,,,,,,
D,x,,,,,,
