# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
0100,,,DEMOLITION / SALVAGE / RELOCATION  (HEADER ONLY),,,,x,
,0101,,"Demolition / Removal – Buildings, Structures
 (Demolition of existing site items that will not be salvaged or relocated.)",LS,,,,
,0102,,"Demolition / Removal – Subsurface/Foundations
 (Demolition of existing site items that will not be salvaged or relocated.)",LS,,,,
,0103,,"Demolition / Removal – Equipment
 (Demolition of existing site items that will not be salvaged or relocated.)",LS,,,,
,0104,,"Demolition / Salvage / Relocation Existing Facilities
 (Salvage of existing items.  Removal of existing site items for relocation.)",LS,,,,
,0198,,"Demolition / Salvage / Relocation Existing Facilities
 (Demolition/Salvage of existing items, or Removal of existing site items for relocation.)",LS,"L,M,U,S,V",,x,
,0199,,Re-Work,,"L,M,U,S,V,N,P",,,
0200,,,SITE PREPARATION  (HEADER ONLY),,,,x,
,0201,,Clear and Grub,ACR/SM,"L,M,U,S,V,N,P",,,
,0202,,"Mass Excavation   
 (Mass Excavation, Spoil)",CY/CM,"L,M,U,S,V,N,P",,,
,0203,,"Mass Backfill
 (Mass Backfill, Rough Grade and Soil Stabilization)",CY/CM,"L,M,U,S,V,N,P",,,
,0204,,"Structural Excavation (See excavation under concrete, 0800, as alternative coding).",CY/CM,"L,M,U,S,V,N,P",,,
,0205,,"Structural Backfill (See backfill under concrete, 0800, as alternative coding).",CY/CM,"L,M,U,S,V,N,P",,,
,0210,,"Site Drainage  0211 - 0219
 (Work items for permanent site drainage.  Storm sewers are included in Account 04)",,"L,M,U,S,V,N,P",,,
,0211,,Ditches,LF/LM,"L,M,U,S,V,N,P",,,
,0212,,Culverts,LF/LM,"L,M,U,S,V,N,P",,,
,0213,,"Pond, Dikes and Levees",CY/CM,,,,
,0214,,Canals,CY/CM,,,,
,0215,,Slope Protection/Linings,SY/SM,,,,
,,,User Defined Site Drainage  0216 - 0219,LS,,,,
,0220,,"Area Paving and Roadwork
 (Stabilization, Base Courses, Asphalt Finish Courses, Concrete, Gravel/Crushed Rock/Shell)",SY/SM,"L,M,U,S,V",,x,
,0221,,Stabilization,SY/SM,,,,
,0222,,Base Courses,SY/SM,,,,
,0223,,Asphalt Finish Courses,SY/SM,,,,
,0224,,Concrete,SY/SM,,,,
,0225,,Gravel/Crushed Stone/Shell,CY/CM,,,,
,,,User Defined Area Paving and Roadwork  0226 - 0229,LS,,,,
,0230,,"Dewatering
 (Pumps and Well Points)",EA,,,,
,0231,,Blasting,LS,,,,
,0232,,Railroads,LF/LM,,,,
,0233,,Fencing,LF/LM,,,,
,0234,,Landscaping,SY/SM,,,,
,0235,,Marine Construction,LS,,,,
,0236,,Water Wells,EA,,,,
,0237,,Bridges,EA,,,,
