# doc_id=0-LST-4008 discipline=0 revision=R0
"Cost
Code",col_1,Cost Code Description,col_3,Cost,col_5,col_6
,,,UOM,Type,,
9000.0,,Professional and Home Office Expenses,,,,
9100.0,,Engineering Services (HEADER ONLY),,,,
These cost codes require the use of work codes.,9101.0,Process Engineering,HOURS,H,,These cost codes require the use of work codes.
,9103.0,Mechanical & Equipment Engineering (Including Material Engineering),HOURS,H,,
,9104.0,Instrumentation/Control,HOURS,H,,
,9110.0,Electrical,HOURS,H,,
,9111.0,Civil/Structural/Architectural,HOURS,H,,
,9115.0,Technology & Lab Activities,HOURS,H,,
,9118.0,Design Office,HOURS,H,,
,9123.0,Chemetics Technology Equipment Engineering,HOURS,H,,
,9124.0,Chemetics Technology Electrolyser,HOURS,H,,
9200.0,,Engineering Support (HEADER ONLY),,,,
,,Project Management and Engineering  (HEADER ONLY),,,,
,9201.0,Project Management,HOURS,H,,
,9202.0,Project Engineering,HOURS,H,,
,9203.0,Project Risk Management,HOURS,H,,
,,Project Controls  (HEADER ONLY),,,,
,9204.0,Project Controls Overall:  Daily management and coordination of the project controls function.,HOURS,H,,
,9205.0,"Estimating:  All estimating activities including coordination and oversight.  Does NOT include Engineering staff, travel or incidental expenses..",HOURS,H,,
,9206.0,Cost Engineering and Progress Measurement:  Development and maintenance of cost report and progress measurement report.,HOURS,H,,
,9207.0,Scheduling: Development and daily maintenance of project schedule.,HOURS,H,,
,,Project Services  (HEADER ONLY),,,,
,9208.0,Project Accounting,HOURS,H,,
,9209.0,Engineering Clerical Support,HOURS,H,,
,,Quality Management & QA Activities  (HEADER ONLY),,,,
,9210.0,Vendor QA/QC,HOURS,H,,
,9214.0,Quality Management:  Supervision and coordination of quality assurance and control.,HOURS,H,,
,9220.0,"QA Data Manual: Preparation of QA manual and inspection checklist.  Includes engineering hours only, not document control or clerical supports.",HOURS,H,,
,,Outside Consultants  (HEADER ONLY),,,,
,9211.0,Outside Consultants,LS/HRS,O,,
,,HS&E  (HEADER ONLY),,,,
,9213.0,HS&E,HOURS,H,,
,,Information Technology  (HEADER ONLY),,,,
,9215.0,Information Technology,HOURS,H,,
,,CAE Activities  (HEADER ONLY),,,,
,9216.0,CAE Activities,HOURS,H,,
,,General Supervision and Coordination  (HEADER ONLY),,,,
,9217.0,Department/Project Supervision. Coordination & Oversight:  Supervision by Engineer Department Manager or others only when authorized.,HOURS,H,,
9300.0,,Procurement & Subcontract Activities (HEADER ONLY),,,,
,,Purchasing  (HEADER ONLY),,,,
,9301.0,"Purchasing Agents:  Includes coordination and oversight of purchasing activities.  Does NOT include Engineering staff, travel or incidental expenses.",HOURS,H,,
,9302.0,Clerical Support for Purchasing,HOURS,H,,
,,Subcontracts  (HEADER ONLY),,,,
,9303.0,"Subcontracts:  Prepare, issue and administer subcontracts. Includes time spent identifying, qualifying, evaluating, negotiating, writing and issuing subcontract document.  This includes time worked in the Chemetics office or elsewhere, but does NOT includ",HOURS,H,,
,9304.0,Subcontracts Clerical Support,HOURS,H,,
,,Expediting (HEADER ONLY),,,,
,9305.0,"Expediting and Inspection:  Inspection of warehousing facilities, material/equipment handling and damage reports, drawing transactions, production schedules, status checking, vendor packing list.  Does NOT include travel or incidental expenses, nor engine",HOURS,H,,
,,Material Management (HEADER ONLY),,,,
,9306.0,Material Control,HOURS,H,,
,,Logistics  (HEADER ONLY),,,,
,9307.0,Logistics Oversight:  Daily management and coordination of the logistics function.,HOURS,H,,
9400.0,,Document Control  (HEADER ONLY),,,,
,,Document Control,,,,
,9401.0,Document Control,HOURS,H,,
9500.0,,Construction (Home Office) (HEADER ONLY),,,,
,,Construction Home Office  (HEADER ONLY),,,,
,9501.0,"Construction, General Home Office Activities:",HOURS,H,,
,9502.0,Construction Safety,HOURS,H,,
,9503.0,Construction Clerical Support:,HOURS,H,,
,9504.0,"Construction Related Subcontracts:  Prepare, issue and administer subcontracts. Includes time spent identifying, qualifying, evaluating, negotiating, writing and issuing subcontract document.  This includes construction subcontract pricing and conforming.",HOURS,H,,
,9505.0,Constructability Review:  Development of construction program and execution plan prior to field mobilization.,HOURS,H,,
,,Corporate (HEADER ONLY),,,,
9600.0,,Home Office Support (HEADER ONLY),,,,
,9601.0,Proposals,HOURS,H,,
,9604.0,Insurance,HOURS,H,,
,9606.0,Sales,HOURS,H,,
,9608.0,Legal,HOURS,H,,
,9610.0,Commercial & Claims (Including Bonds),LS,M,,
,9611.0,"Bank Charges(LOC,LOG, and others)",LS,M,,
,,Incidentals (HEADER ONLY),,,,
9700.0,,Standard Incidentals (HEADER ONLY),,,,
,9702.0,Travel and Living,LS,I,,
,9703.0,Postage and Express Mail,LS,I,,
,9704.0,"Communications (Telephone, Telex, FAX, etc.)",LS,I,,
,9705.0,Entertainment & Meals,LS,I,,
,9706.0,Office Materials and Supplies,LS,I,,
,9707.0,"Reproduction and Photographs, Internal and outside services:",LS,R,,
,9708.0,Occupancy (Costs of Office for Client),LS,I,,
,9709.0,Miscellaneous,LS,I,,
,9710.0,Computers,LS,I,,
,9711.0,Rest & Recreation,LS/HRS,"H,I",,
