# doc_id=0-LST-6 discipline=0 revision=R0
col_0,Trade Classification,Labour Rate,Earthworks,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
,,,Number,Cost,Number,Cost,Number,Cost,Number,Cost,Number,Cost,Number,Cost,Number,Cost
,Metal Tradesman,65.22468007877417,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Carpenter,65.22468007877417,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Plumber,66.83097858076708,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Welder,67.09869499776588,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Instrument,67.90184424876233,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Electrician Mechanic,68.70499349975879,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Electrician,68.70499349975879,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Inst & Cont/Electronic,71.64795840576545,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Crane Operator <40t,59.72512843256511,3.0,179.17538529769533,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Tower Crane Operator,63.92956926410823,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Crane Operator 40t - 80t,61.158536726084705,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Rigger/Dogman/Scaffolder,61.89511606301527,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Concrete Worker,60.824250395019995,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Trades Assistant,59.72512843256511,4.0,238.90051373026043,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Total Gang Cost,,7.0,418.07589902795576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Gang Labour Rate,,,59.72512843256511,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Trade Classification,Labour Rate,,,,,,,,,,,,,,
,,,Number,Cost,Number,Cost,Number,Cost,Number,Cost,Number,Cost,Number,Cost,Number,Cost
,Metal Tradesman,65.22468007877417,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Carpenter,65.22468007877417,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Plumber,66.83097858076708,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Welder,67.09869499776588,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Instrument,67.90184424876233,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Electrician Mechanic,68.70499349975879,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Electrician,68.70499349975879,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Inst & Cont/Electronic,71.64795840576545,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Crane Operator <40t,59.72512843256511,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Tower Crane Operator,63.92956926410823,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Crane Operator 40t - 80t,61.158536726084705,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Rigger/Dogman/Scaffolder,61.89511606301527,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Concrete Worker,60.824250395019995,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Trades Assistant,59.72512843256511,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,Total Gang Cost,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Gang Labour Rate,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
