# doc_id=0-LST-6 discipline=0 revision=R0
col_0,col_1,col_2,Rev,No,Item,Install / Connect,col_7,col_8,col_9,Use Charges,col_11,col_12,Notes
,,,,,,CHM,OTH,SUB,,CHM,OTH,SUB,
x,H,,SITE SERVICES,,,,,,,,,,
x,S,,,Site Facilities,,,,,,,,,
x,,,,1.1,Offices and Furnishings,,,ü,,,,ü,
x,,,,1.2,Office Supplies,,,ü,,,,ü,
x,,,,1.3,Lunch Room,,,ü,,,,ü,
x,,,,1.4,Change Rooms,,,ü,,,,ü,
x,,,,1.5,Sanitary Facilities,,,ü,,,,ü,
x,,,,1.6,Site Fencing,,,ü,,,,ü,
x,,,,1.7,Site Security,,,ü,,,,ü,
x,,,,1.8,Warehousing,,,ü,,,,ü,
,S,,,Utilities,,,,,,,,,
,,,,,Power for Site Facilities,,,,,,,,
,,,,,Potable Water,,,,,,,,
,,,,,Sanitary Sewer,,,,,,,,
,,,,,Septic Collection,,,,,,,,
,,,,,Phone / Fax,,,,,,,,
,,,,,Power for Construction,,,,,,,,
,,,,,Power for Welding,,,,,,,,
,,,,,Compressed Air,,,,,,,,
,,,,,Process Water,,,,,,,,
,,,,,Process Water Disposal,,,,,,,,
