# doc_id=0-LST-6 discipline=0 revision=R0
col_0,Component,Calculation Basis,Units,Position Title / Trade Classification
,,,,Instrument
,Base Weekly Rate,,,937.52
,Tradesperson Allowance,,,46.91
,Special Class Allowance,,,22.36
,Leading Hand Allowance,1 in 10 @ $42.45,4.245,4.245
,Registration/License Allowance,,,33.54
,Tool Allowance,,,25.28
,TOTAL ALL PURPOSE RATE,,,1069.855
,All Purpose Hourly Rate,,,28.154078947368422
,WEEKLY COST,,,
,Base Hours,,38.0,1069.855
,Premium Time,19/4 wks @ 2 hr + 3/4 wks @ 2 hr,11.0,464.542302631579
,Double Time,3/4 wks @ 4 hr DT,3.0,168.92447368421054
,Weekday OT Meal Time,19/4 wks @ 0.5 hr DT,2.375,133.731875
,Saturday OT Meal Time,3/4 wks @ 0.5 hr DT,0.375,21.115559210526317
,LEAVE,,,
,Effective Worked Weeks per year,,44.0,
,Annual Leave,4/44 @ 38 hr,3.4545454545454546,97.25954545454546
,Annual Leave Loading,,0.175,17.020420454545455
,Public Holidays,2/44 @ 38 hr,1.7272727272727273,48.62977272727273
,Sick Leave,2/44 @ 38 hr,1.7272727272727273,48.62977272727273
,OTHER ALLOWANCES,,,
,First Aid Allowance,1 in 6 @ $11.52,1.92,1.92
,Meal Allowance,19/4 wks @ $8.76,41.61,41.61
,Travelling/Mobility/Location Allowance,22/4 wks @ $22.50,123.75,123.75
,Redundancy,52/44 @ $58.06,68.61636363636364,68.61636363636364
,Superannuation,52/44 @ 9%,0.10636363636363637,113.79366818181819
,,,,2419.3987537081343
,Payroll Tax,,0.06,145.16392522248805
,Workers Compensation,,0.0469,113.46980154891149
,Consumables,,4.93,4.93
,Camp,,458.43,458.43
,TOTAL WEEKLY COST,,,3141.392480479534
,Wet Weather,per week,0.10229,321.3330368282515
,TOTAL WEEKLY COST,,,3462.725517307785
,HOURLY RATE,,52.0,66.59087533284202
