# doc_id=0-LST-6 discipline=0 revision=R0
col_0,col_1,col_2,Rev,No,Item,Material Supply,col_7,col_8,col_9,Installation,col_11,col_12,Notes
,,,,,,CHM,OTH,SUB,,CHM,OTH,SUB,
x,H,,TECHNOLOGY,,,,,,,,,,
x,,,,1.1,Laboratory Analyzers,,,ü,,,,,
x,,,,1.2,Laboratory General Equipment,,,ü,,,,,
x,,,,1.3,Laboratory Supplies,,,ü,,,,,
x,,,,,,,,,,,,,
x,,,,,,,,,,,,,
x,H,,FOUNDATIONS AND CIVIL,,,,,,,,,,
x,,,,2.1,Site Preparation,,,ü,,,,ü,
x,,,,2.2,"Foundations, Floor Slabs, Containment",,,ü,,,,ü,
x,,,,2.3,Underground Services,,,ü,,,,ü,
x,,,,2.4,Paving and Finishing,,,ü,,,,ü,
,S,,,Site Preparation,,,,,,,,,
,,,,,Clearing and Grubbing,,,,,,,,
,,,,,Strip Topsoil and Stockpile,,,,,,,,
,,,,,Leveling and Grading,,,,,,,,
,,,,,Shoring / Sheet Piling,,,,,,,,
,,,,,Excavation,,,,,,,,
,,,,,Decontamination of Excavation Waste,,,,,,,,
,,,,,De-Watering,,,,,,,,
,,,,,Treatment of Ground-Water,,,,,,,,
,,,,,Structural Fill,,,,,,,,
,,,,,Piling,,,,,,,,
,S,,,"Foundations, Ground Floor Slabs and Containment",,,,,,,,,
,,,,,Formwork,,,,,,,,
,,,,,Reinforcement,,,,,,,,
,,,,,Embedded Metals,,,,,,,,
,,,,,Concrete,,,,,,,,
,,,,,Trench Covers,,,,,,,,
,,,,,Sump Covers,,,,,,,,
,S,,,Underground Services,,,,,,,,,
,,,,,Sanitary Sewer,,,,,,,,
,,,,,Process Sewer,,,,,,,,
,,,,,Fire Main incl Hydrants,,,,,,,,
,S,,,Paving and Finishing,,,,,,,,,
,,,,,Pedestrian Paving,,,,,,,,
,,,,,Vehicular Paving,,,,,,,,
,,,,,Stormwater Collection,,,,,,,,
,,,,,Grade Finishing,,,,,,,,
x,,,,,,,,,,,,,
x,,,,,,,,,,,,,
x,H,,STRUCTURAL AND ARCHITECTURAL,,,,,,,,,,
