# doc_id=0-LST-7003 discipline=0 revision=R2
Document No.,Document No.,Document No.,Document Name,By,Date
,,,Engineering,,
0,PRC,0001,Approval and Use of Standards,,
0,PRC,0002,Document Numbering,,
0,PRC,0003,File Structure,,
0,PRC,0004,Style of Textual Documents,,
0,PRC,0005,Publishing of Project Documents,,
0,PRC,0006,Control of Project Documentation,,
0,PRC,0007,Review of Vendor Documentation,,
0,SPC,0001,Vendor Document Supply,,
0,SPC,0002,Engineering Subcontract Document Supply,,
0,LST,2004,Project Responsibility,,
0,PRC,2001,Assignment of Project Responsibilities,,
0,PRC,2002,Project Instructions,,
0,PRC,2003,Project Execution Plan,,
0,PRC,2004,Project Coordination,,
0,PRC,2005,Project Responsibility,,
0,PRC,2202,Form of Engineering Subcontract,,
0,PRC,2203,Engineering Subcontract Scope Preparation,,
0,PRC,2204,Engineering Subcontract Evaluation and Approval,,
0,PRC,2205,Commercial Terms for Engineering Subcontract,,
0,PRC,2206,Issue of Engineering Subcontract,,
0,PRC,2207,Engineering Subcontract Control,,
0,DAT,3001,Project Schedule,,
0,DAT,3002,Project Resource Management,,
0,PRC,3001,Project Planning,,
0,PRC,3002,Project Scheduling,,
0,PRC,3003,Project Resource Management,,
0,PRC,4001,Cost Codes,,
0,DAT,5001,Purchasing and Logistics Database,,
0,PRC,5001,Form of Purchase Order,,
0,PRC,5002,Requisition for Quotation or Purchase,,
0,PRC,5003,Bid Evaluation and Approval,,
0,PRC,5004,Commercial Terms for Purchase,,
0,PRC,5005,Issue of Request for Quotation or Purchase Order,,
0,SPC,5002,Special Conditions for Purchase,,
0,SPC,5004,Packaging Land Transport,,
0,SPC,5005,Packaging Marine Transportation,,
0,SPC,6002,Special Conditions for Subcontract,,
0,PRC,6001,Plant Constructability Review,,
0,LST,7003,Quality Plan References,,
0,PRC,7003,Quality Plan,,
0,PRC,7004,Checking and Approval of Design,,
0,PRC,7005,Vendor Quality Assurance,,
0,PRC,7007,Engineering Subcontractor Quality Assurance,,
0,SPC,7001,Vendor Quality Assurance (Equipment),,
0,SPC,7002,Vendor Quality Assurance (Bulk Materials),,
0,SPC,7004,Engineering Subcontractor Quality Assurance,,
1,DST,0001,Site Design Conditions,,
1,LST,0001,Battery Limits Conditions,,
1,PRC,0001,Process Design Criteria,,
1,PRC,0002,Flowsheet Development and Approval,,
1,PRC,0003,P&ID Development and Approval,,
1,PRC,0004,Hazard and Operability Studies,,
2,PRC,0001,Civil Works Design Criteria,,
2,PRC,0002,Civil Works Design and Specification,,
3,PRC,0001,Structural and Architectural Design Criteria,,
3,PRC,0002,Structural and Architectural Design and Specification,,
4,PRC,0002,Equipment Design Criteria,,
4,PRC,0003,Equipment Design and Specification,,
5,PRC,0002,Piping Design Criteria,,
5,PRC,0003,Piping Design and Specification,,
5,PRC,0004,Line List Development and Approval,,
5,PRC,0005,Plant Layout Review,,
6,PRC,0001,Insulation Design Criteria,,
6,PRC,0002,Insulation Design and Specification,,
7,PRC,0001,Coatings Design Criteria,,
7,PRC,0002,Coatings Design and Specification,,
8,PRC,0002,Instrumentation and Control Design Criteria,,
8,PRC,0003,Field Instrument Design and Specification,,
8,PRC,0004,Control System Design and Specification,,
9,PRC,0002,Electrical Design Criteria,,
9,PRC,0003,Electrical Design and Specification,,
,,,Construction,,
0,PRC,6002,Form of Construction Subcontract Agreement,,
0,PRC,6003,Construction Subcontractor Evaluation and Approval,,
0,PRC,6004,Commercial Terms for Construction Subcontract,,
0,PRC,6005,Issue of Construction Subcontract,,
0,PRC,6006,Construction Management,,
0,PRC,6071,Construction Quality Assurance,,
0,SPC,6003,Construction Subcontract Coordination,,
0,SPC,6007,Construction Subcontract Control,,
0,SPC,6021,Construction Subcontract Scheduling,,
0,SPC,6041,Subcontract Material Control,,
0,SPC,6051,Subcontract Safety Management,,
0,SPC,6061,Subcontract Environmental Management,,
0,SPC,6081,Subcontract Industrial Relations Management,,
0,SPC,6091,Construction Subcontract Document Supply,,
0,PRC,6092,Construction Technical Queries,,
0,SPC,7003,Subcontract Quality Assurance,,
,,,Commissioning,,
1,MAN,0001,Operating Manual,,
1,MAN,0002,Analytical Manual,,
1,MAN,0003,Training Manual,,
1,PRC,0006,Water and Air Trials,,
1,PRC,0007,Isolation and Preparation for Maintenance,,
1,PRC,0008,Performance Testing,,
1,PRC,0009,Safe Work Permits,,
1,PRC,0010,Plant Modification,,
4,PRC,0004,Mechanical Checkout Equipment,,
5,PRC,0007,Mechanical Checkout Piping,,
8,PRC,0005,Instrument Systems Field Checkout,,
8,PRC,0006,DCS Control Function Checkout,,
8,PRC,0011,Instrument Approval Tag,,
8,PRC,0014,DCS Field Hardware Checkout,,
9,PRC,0004,Electrical Systems Field Checkout,,
9,PRC,0019,Field Lockout and Tagout,,
