# doc_id=0-LST-7004 discipline=0 revision=R0
Client Name,col_1,col_2,col_3,col_4,List,col_6,col_7,col_8,col_9,col_10,col_11,Aker Kvaerner,col_13,col_14
Project Title,,,,,Project Nonconformance Report Register,,,,,,,Chemetics,,
Location,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,
Client Document Number,,,,,,,,,,,,Standard-0-LST-7004-R0,,
Rev.,Issue Date,,Status,,,,,,,Issued By:,Checked by:,,,Approved By:
0.0,39132.0,,Comments Requested,,,,,,,H. Armstrong,H. Armstrong,,,K. Shaw
NCR,,,,,,,,Supplier,Problem,Supplier,Complete,AKC QA,,
Project #,-,Group#,NCR,PO/REQ/TAG#,-,Rpt #,Issue Date,Information,Description,Corrective Action,Date,Status,Close Date,Comments
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
Standard,-,,-NCR-,,-,,,,,,,,,
