# doc_id=0-PRC-2005 table=1 inline=true
Rev:,Date:,Status:,Status:,Status:,Prepared By:,Checked By:,Approved By:,Approved By:,,"Procedure

Project Responsibility","Procedure

Project Responsibility","Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc."
,,Approved for Design,Approved for Design,Approved for Design,[Project Mgr],G. Goto,T. Ueki,T. Ueki,,"Procedure

Project Responsibility","Procedure

Project Responsibility","Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc."
2,28-Mar-03,Standard,Standard,Standard,G. Goto,G. Goto,T. Ueki,T. Ueki,,"Procedure

Project Responsibility","Procedure

Project Responsibility","Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc."
1,18-Nov-02,Standard,Standard,Standard,J. Nelson,G. Goto,T. Ueki,T. Ueki,,"Procedure

Project Responsibility","Procedure

Project Responsibility",Standard-0-PRC-2005-R1
ENGINEERING,ENGINEERING,ENGINEERING,PROJECT MANAGER,PROJECT ENGINEER,PROJECT ENGINEER,PROJECT ENGINEER,PROJECT ENGINEER,DISCIPLINE LEAD ENGINEER,DISCIPLINE LEAD ENGINEER,DISCIPLINE LEAD ENGINEER,DISCIPLINE MANAGER,DISCIPLINE MANAGER
GENERAL,GENERAL,GENERAL,"Deliver the project to the Owner in accordance with the contracted requirements for scope, schedule, and quality.","Manage the engineering execution to meet the project requirements for scope, schedule and quality.","Manage the engineering execution to meet the project requirements for scope, schedule and quality.","Manage the engineering execution to meet the project requirements for scope, schedule and quality.","Manage the engineering execution to meet the project requirements for scope, schedule and quality.","Execute the discipline’s work to meet the project requirements for scope, schedule and quality.","Execute the discipline’s work to meet the project requirements for scope, schedule and quality.","Execute the discipline’s work to meet the project requirements for scope, schedule and quality.",,
PLANNING,PLANNING,PLANNING,"Prepare summary project schedule to meet the contracted delivery requirements and to establish milestones for engineering, procurement and construction.  Develop detailed schedule with Manager of Project Controls",Review detailed engineering schedule prepared by Manager of Project Controls.,Review detailed engineering schedule prepared by Manager of Project Controls.,Review detailed engineering schedule prepared by Manager of Project Controls.,Review detailed engineering schedule prepared by Manager of Project Controls.,Assist project engineer to define the project deliverables for the discipline and establish the baseline distribution of the resource budget across the deliverables.,Assist project engineer to define the project deliverables for the discipline and establish the baseline distribution of the resource budget across the deliverables.,Assist project engineer to define the project deliverables for the discipline and establish the baseline distribution of the resource budget across the deliverables.,,
,,,,Review and approve look-ahead work priority lists prepared by Manager of Project Controls.,Review and approve look-ahead work priority lists prepared by Manager of Project Controls.,Review and approve look-ahead work priority lists prepared by Manager of Project Controls.,Review and approve look-ahead work priority lists prepared by Manager of Project Controls.,Assign work to the discipline team to meet the deadlines established.,Assign work to the discipline team to meet the deadlines established.,Assign work to the discipline team to meet the deadlines established.,,
RESOURCES,RESOURCES,RESOURCES,pprov assignment of Discipline Lead Engineers.,,,,,,,,,
,,,Notify senior level managers of personnel deficiencies or shortages that may increase exposure to penalties or risks if not addressed,Review and approve forecasts of resource requirements for the project prepared by Manager of Project Controls.,Review and approve forecasts of resource requirements for the project prepared by Manager of Project Controls.,Review and approve forecasts of resource requirements for the project prepared by Manager of Project Controls.,Review and approve forecasts of resource requirements for the project prepared by Manager of Project Controls.,Review resource requirements with Discipline Chief; establish skill needs and assignment schedule.,Review resource requirements with Discipline Chief; establish skill needs and assignment schedule.,Review resource requirements with Discipline Chief; establish skill needs and assignment schedule.,Assign personnel of required skills to the project as required.,Assign personnel of required skills to the project as required.
,,,,,,,,Monitor performance of discipline team personnel and advise Discipline Chief of any problems.,Monitor performance of discipline team personnel and advise Discipline Chief of any problems.,Monitor performance of discipline team personnel and advise Discipline Chief of any problems.,Counsel and coach project personnel as required to overcome any shortfalls in performance.,Counsel and coach project personnel as required to overcome any shortfalls in performance.
TECHNICAL,TECHNICAL,TECHNICAL,,"Co-ordinate the work of the disciplines to ensure effective, timely communication amongst the project team.","Co-ordinate the work of the disciplines to ensure effective, timely communication amongst the project team.","Co-ordinate the work of the disciplines to ensure effective, timely communication amongst the project team.","Co-ordinate the work of the disciplines to ensure effective, timely communication amongst the project team.",Fully responsible that the technical work of the discipline is fit for purpose and meets all contractual requirements.,Fully responsible that the technical work of the discipline is fit for purpose and meets all contractual requirements.,Fully responsible that the technical work of the discipline is fit for purpose and meets all contractual requirements.,Assume technical responsibility in the event that the assigned Discipline Lead Engineer is not sufficiently experienced.,Assume technical responsibility in the event that the assigned Discipline Lead Engineer is not sufficiently experienced.
