# doc_id=0-PRC-2005 table=4 inline=true
CONSTRUCTION,PROJECT MANAGER,PROJECT ENGINEER,CONSTRUCTION SERVICES,DISCIPLINE LEAD ENGINEER
GENERAL,"Deliver the project to the Owner in accordance with the contracted requirements for scope, schedule, and quality.",,"Construct the plant to meet the project requirements for scope, schedule and quality.",
PLANNING,Approve construction subcontracting plan.,,"Prepare construction subcontracting plan, listing each subcontract and scope of work.",
,,,Prepare detailed construction schedule for the project to meet the milestones defined by the summary schedule.,
COMMERCIAL,Approve Special Terms and Conditions.,,Establish an in-depth understanding of the commercial requirements of the ContractSpecial Terms and Conditions to be used for subcontracts.,
QUALITY,,,Draft modifications to standard Quality Plan to meet Contract requirements.,
,,,Review and approve Subcontractor Quality Plan to match Contract requirements.,
,,,Carry out Subcontractor quality surveillance as set out in the Quality Plan.,Participate in stage or final surveillance as set out in the Quality Plan.
SUBCONTRACTS,Approve Subcontract bidders list.,,Investigate and select qualified bidders for each Subcontract.,
,Approve Subcontract Tender.,"Co-ordinate assembly of written scope of work of the Subcontract, including document lists and document production.
Check Subcontract Tender.",Prepare draft Subcontract Tender; issue following approval.,"Prepare written description of scope of work of the discipline for Subcontract, including document list."
,Review evaluations and select Subcontractor. If final cost is expected to be over project budget obtain senior level approval.,,Evaluate proposals and identify the preferred Subcontractor with commercial justification.,
,Propose any additional commercial terms specific to the selected Subcontractor.,"Co-ordinate assembly of written scope of work of the Subcontract, including document lists and document production.",Revise draft Subcontract Tender; reissue to selected Subcontractor for revision of offer.,"Update written description of scope of work of the discipline for Subcontract, including document list."
,Participate in negotiation with Subcontractor.,Participate in negotiation with Subcontractor.,"Negotiate price, technical offer and commercial terms with Subcontractor.",Participate in negotiation with Subcontractor as required.
,Approve draft Subcontract.,,Prepare draft Subcontract; issue to Subcontractor following approval.,
,,Manage and co-ordinate the preparation and issue of revision packages to Construction Services.,Issue revision packages to Subcontractor and to field supervision.,Prepare Subcontract discipline scope revision packages as needed.
SCOPE,Provide quotations for changes requested by the Owner.,,"Provide a full description, quantification of delay and quantification of changes to costs resulting from Owner changes.",
,,,Provide non-conformance reports for Vendor- supplied equipment and materials including quantification of changes to costs.,
PROGRESS,,,Measure progress of construction work and initiate corrective action where necessary to maintain overall project schedule.,
,Present delay claims to the Owner.,,"Provide a full description, quantification of delay and quantification of changes to costs resulting from Owner changes or delays.",
COST,Approve Change Orders.,,Negotiate cost and terms of Field Orders and Change Orders.,
COST,,,Forecast final cost of construction of the project.,Forecast additional work scope yet to be issued to Subcontractor to complete project.
COMMUNICATION,,,Send and receive all communications with Subcontractors.,Prepare draft responses and notices to Subcontractor within discipline responsibility.
RECORDS,,,Maintain Subcontractor communication files and archive upon project completion.,
,,,Assemble construction Quality Assurance files and issue to Owner as required by Contract.,
