# doc_id=0-PRC-3001 table=2 inline=true
Planning Activity,Schedule
Assignment of Project Manager,Upon initiation
Contract Hand-Over,Upon initiation
Assignment of Project Engineer,Within one week
Management Briefing,Within one week
Assignment of Project Team,Within one week
Internal Kick-Off Meeting,Within one week
Project Execution Plan,Within two weeks
Project Administration Documents,Within two weeks
Quality Plan,Within two weeks
Document List,Within two weeks
Procurement Plan,Within two weeks
Logistics Plan,Within two weeks
Project Schedule,Within four weeks
Project Budget,Within four weeks
Project Resource Management System,Within four weeks
Owner Kick-Off Meeting,Within four weeks
