# doc_id=0-REP-5 table=4 inline=true
,Prepare detail drawings from specifications and outline drawings?,Prepare detail drawings from specifications and outline drawings?,Prepare detail drawings from specifications and outline drawings?,,,,,,
,Make drawing and document reproductions in-house?,Make drawing and document reproductions in-house?,Make drawing and document reproductions in-house?,,,,,,
,Have CAD System?,Have CAD System?,Have CAD System?,,,,,,
,Type:,,,Version:,Version:,,,,
,"Have e-mail address, for electronic transmittal of documents & drawings?","Have e-mail address, for electronic transmittal of documents & drawings?","Have e-mail address, for electronic transmittal of documents & drawings?",,,,,,
,"Have capability to design and guarantee performance of the following, if given performance data?","Have capability to design and guarantee performance of the following, if given performance data?","Have capability to design and guarantee performance of the following, if given performance data?",,,,,,
,Pressure Vessels,Pressure Vessels,,Heat Exchangers,Heat Exchangers,Heat Exchangers,Heat Exchangers,,
,Scrubbers,Scrubbers,,Other (specify),Other (specify),Other (specify),Other (specify),,
,"Have ASME, ISO or other Code certification?","Have ASME, ISO or other Code certification?","Have ASME, ISO or other Code certification?",,,,,,
,Have union certification?,Have union certification?,Have union certification?,,Contract expiry date:,Contract expiry date:,Contract expiry date:,Contract expiry date:,
,Have field erection capability?,Have field erection capability?,Have field erection capability?,,Locations:,Locations:,,,
,Have sand-blasting & painting capabilities?,Have sand-blasting & painting capabilities?,Have sand-blasting & painting capabilities?,,,,,,
,Use crating sub-contractor for export crating?,Use crating sub-contractor for export crating?,Use crating sub-contractor for export crating?,,,,,,
