# doc_id=0-REP-8006 table=2 inline=true
"I.	CHECK THE POTENTIAL HAZARDS ASSOCIATED WITH JOB TASK
Typical Hazards","I.	CHECK THE POTENTIAL HAZARDS ASSOCIATED WITH JOB TASK
Typical Hazards",,"II.	CHECK REMEDIES TO CONTROL TASK HAZARDS
Typical Remedies","II.	CHECK REMEDIES TO CONTROL TASK HAZARDS
Typical Remedies",,"EMPLOYEE’S PERSONAL
CHECKLIST","EMPLOYEE’S PERSONAL
CHECKLIST","EMPLOYEE’S PERSONAL
CHECKLIST","EMPLOYEE’S PERSONAL
CHECKLIST"
,Eye Irritants,,,Remove Hazard,,Y,N,N/A,Check list Questions
,Falls,,,Change Method/Procedure,,,,,Is permit required for task?
,Electrical Shock,,,Personal Protective Equipment,,,,,Lockout/tagout procedure in
,Cuts,,,Increase Awareness,,,,,force?
,Chemical Burn,,,Barricades,,,,,Head & eyes protected?
,Thermal Burn,,,Sloping/Shoring,,,,,Hands protected?
,Fire,,,Hearing Protection,,,,,Fall protection in place?
,Loud Noises,,,Scaffold/Safety Harness,,,,,Hand tools in good condition?
,Tripping,,,Contain Sparks,,,,,Power tools & cords checked?
,Spills,,,Hoses/Fire Extinguisher,,,,,Power equipment inspected?
,Struck By,,,Get Expert Help,,,,,Lighting adequate?
,Pinch Points,,,,,,,,All lines or valves blinded?
,Overexertion,,,,,,,,Fire extinguishers in place?
,Inhaling Fumes,,,,,,,,Barricades & warning signs up?
,Overhead Work,,,,,,,,Excessive noise in work area?
,Cave-in,,,,,,,,Housekeeping adequate?
,Dropping Material/Tools,,List all Personal Protective Equipment required to perform this task:,List all Personal Protective Equipment required to perform this task:,,,,,Trenches-sloped or shored?
,Sprains/Strains,,List all Personal Protective Equipment required to perform this task:,List all Personal Protective Equipment required to perform this task:,,,,,Ladders used properly?
,Toxic Material,,List all Personal Protective Equipment required to perform this task:,List all Personal Protective Equipment required to perform this task:,,,,,Material handling equipment available?
,,,List all Personal Protective Equipment required to perform this task:,List all Personal Protective Equipment required to perform this task:,,,,,Material handling equipment available?
,,,,,,,,,Rigging in good condition?
,,,,,,,,,Safety Data Sheets available?
,,,,,,,,,Oxygen & flammability levels checked?
,,,,,,,,,Oxygen & flammability levels checked?
,,,,,,,,,Confined Space entry?
,,,,,,,,,Hazard assessment performed?
,,,,,,,,,Confined space procedures in place?
,,,,,,,,,Fire watch/entry attendant in place?
,,,,,,,,,Fire watch/entry attendant in place?
,,,,,,,,,Permit instructions followed?
