# doc_id=0-REP-8007 table=4 inline=true
Step 3,Identify the Potential Hazards,Identify the Potential Hazards
Consider the following hazards:,Consider the following hazards:,Consider the following hazards:
Pressure,Pressure,Moving objects
Electricity,Electricity,Weather
Chemicals,Chemicals,Hot/cold objects
Rotating equipment,Rotating equipment,Noise
Vehicles,Vehicles,Radiation
Height,Height,Tools/equipment
Depth,Depth,Weight of objects
Confined spaces,Confined spaces,Bacteria
"Vibration
Access","Vibration
Access",Hydrocarbon or gas release
Consider the potential to:,Consider the potential to:,Consider the potential to:
Be struck by,Be struck by,Slip/ trip/ fall
Be caught in/ on,Be caught in/ on,Inhale/ ingest
Strain/ over-exert,Strain/ over-exert,Fire/ explosion
"Be hit by falling objects
Strike against","Be hit by falling objects
Strike against",Be exposed to gas/ fumes/ dust/ chemicals
Also consider:,Also consider:,Also consider:
Pollution to the environment,Pollution to the environment,Simultaneous operations
"Human factors ie. competency, training, fitness, fatigue, etc","Human factors ie. competency, training, fitness, fatigue, etc",Damage to other employees & equipment
