# doc_id=1-LST-0002 discipline=1 revision=R3
Our Scope: B/C/D,Selection,col_2,col_3,col_4,Fluid,Code,Comments,Technology,col_9,col_10
,,,,,,,,A,WA,C
A,WA,C,,,"Air, Atmospheric",AA,Also dilution air,,,
D,x,,,,"Air, Compressed",AC,Also mill (plant) air and wet padding air,,,
,,,,,"Air, Dry Process",AD,Sulphur burning acid plants,,,
,,,,,"Air, Instrument",AI,Dry,,,
,,,,,"Air, Padding",AP,Dry,,,
,,,,,"Air, Vent",AV,,,,
,,,,,"Air, Vent Contaminated",AVC,,,,
,,,,,"Ammonia, Liquid/Gas",AM0,,,,
,,,,,"Ammonia, Solution",AML,,,,
,,,,,"Ammonium Sulphate, Solution",ASL,,,,
,,,,,"Barium Chloride, Solution",BCL,,,,
,,,,,"Brine, Chlorinated",BRC,Cells to Hypo Kill,,,
,,,,,"Brine, Dechlorinated",BRD,Hypo Kill to dissolver,,,
,,,,,"Brine, Deionized",BRF,Bix to cells.  Use CPVC piping.,,,
,,,,,"Brine, Feed",BR,"Includes raw, precoat treated and filtered brine",,,
,,,,,"Brine, Sludge",BRS,,,,
,,,,,"Calciner, Vent Gas",CG,,,,
,,,,,"Calcium Chloride, Solution",CML,,,,
,,,,,"Calcium Hydroxide, Slurry",CYS,Milk of Lime,,,
,,,,,"Calcium Oxide, Solid",CO,Lime for Calcium Hydroxide production,,,
,,,,,"Calcium Sulphate, Slurry",CSS,Gypsum,,,
,,,,,"Carbon Dioxide, Gas/Liquid",CDO,,,,
,,,,,Caustic (<40%),CAW,Includes catholyte system,,,
,,,,,Caustic (>40%),CAS,,,,
,,,,,"Chlorine, Gas Dry",CGD,No possibility of liquid Cl2.  No titanium allowed.,,,
,,,,,"Chlorine, Gas Wet",CGW,,,,
,,,,,"Chlorine, Liquid",CL,Watch temperature!,,,
,,,,,Chlorine Contaminated Condensate,CCC,,,,
,,,,,"Chlorine Dioxide, Gas",CDG,,,,
,,,,,"Chlorine Dioxide, Solution",CDL,,,,
,x,,,,,,,,,
,,,,,Coagulant,COA,,,,
,,,,,"Drain, Chemical",DRC,Watch material selection for different chemicals,,,
,,,,,"Drain, Floor",DRF,,,,
,,,,,"Drain, Neutral",DRN,,,,
,,,,,"Effluent, Acidic",EA,pH<4,,,
,,,,,"Effluent, Alkaline",EC,pH>10,,,
,,,,,"Effluent, Neutral",EN,4<pH<10,,,
,,,,,"Effluent,Thickened",ET,Sludge from thickener underflows,,,
,,,,,"Effluent,Vent",EV,,,,
,,,,,"Ferric Hydroxide, Slurry",FHS,,,,
,,,,,"Ferric Sulphate, Solution",FSL,,,,
,,,,,Filter Aid,FA,Made with water,,,
,,,,,Flocculent,FL,,,,
,,,,,Heat Transfer Oil Supply,HTS,,,,
,,,,,Heat Transfer Oil Return,HTR,,,,
,,,,,Hydrazine,DH,,,,
,,,,,Hydrogen,HY,Chloralkali,,,
D,x,,,,"Hydrogen, Cl2/HCl Contaminated",HYC,Chlorate/ClO2,,,
,,,,,"Hydrogen, Vent",HYV,,,,
,,,,,"Hydrogen Chloride, Gas",HCG,Between HCl absorber and tail gas scrubber,,,
,,,,,Hydrochloric Acid,HCL,Up to 35% w/w,,,
,,,,,Hydrogen Peroxide,HPL,<73% H2O2,,,
,,,,,"Hydrogen Sulphide, Gas",HSG,,,,
,,,,,Hydroquinone,HQ,,,,
,,,,,"Magnesium Chloride, Solution",MCL,,,,
,,,,,"Magnesium Hydroxide, Solution",MHL,,,,
,,,,,"Magnesium Sulphate, Solution",MSL,,,,
,,,,,"Methanol, Strong",MES,>20% w/w,,,
,,,,,"Methanol, Weak",MEW,<20% w/w,,,
,,,,,"Methyl Phthalimide, Molten",MPS,,,,
,,,,,"Nitro-Methyl Phthalimide, H2O Slurry",NMS,,,,
,,,,,Natural Gas,NG,,,,
,,,,,"Natural, Gas, Vent",NGV,,,,
,,,,,"Nitric Acid, Strong",NAS,,,,
,,,,,"Nitric Acid, Weak",NAW,,,,
,,,,,"Nitric Acid, Vent",NAV,,,,
,,,,,"Nitric Acid, Drain",NAD,,,,
,,,,,Nitrobenzene,NB,,,,
,,,,,"Nitrogen, Gas",NIG,,,,
,,,,,"Nitrogen, Liquid",NIL,,,,
,,,,,"Nitrogen, Instrument",NII,,,,
,,,,,Nitrosylsulfuric Acid,NSA,,,,
,,,,,"NOX, Vent",NOV,,,,
,x,,,,"Oil, Fuel",OF,,,,
,,,,,"Oil, Diesel",OD,,,,
,,,,,Organic Vapour,ORG,,,,
,,,,,"Oxygen, Gas",OXG,,,,
,,,,,"Oxygen, Liquid",OXL,,,,
,,,,,"Petroleum, Liquified Gas",LPG,,,,
,,,,,"Propane, Gas",PRG,,,,
,,,,,"Sodium Carbonate, Solution",SCE,,,,
,,,,,"Sodium Chlorate, Slurry",SCY,,,,
,,,,,"Sodium Chlorate, Solid",SCS,Pneumatic conveying,,,
,x,,,,"Sodium Chlorate, Solution",SCL,,,,
,,,,,"Sodium Chlorate, Vent",SCV,,,,
