# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
Number,Name,
Area 101,Nitration,
0101T,Sulphuric Acid Tank,
0102P,Sulphuric Acid Pump,
0104R,Nitrator,
0105A,Nitrator Agitator,
0106K,MNB - Acid Separator,
0108T,Drain Tank,
0110H,Crude Benzene Exchanger,
0111H,Crude MNB Cooler,
0112T,Crude MNB Tank,
0113T,Droplets Catch Tank,
Area 102,PI Nitration Reaction Section,
0201R,Reactor #1 Train B,
0202A,Agitator #1 Train B,
Area 103,PI Nitration Product Recovery Section,
0301H,Falling Film Evaporator Train B,
0302T,Falling Film Seal Tank Train B,
0303T,Centrate Tank,
0304A,Centrate Tank Agitator,
0305T,Primary Re slurry Tank Train B,
0306A,Primary Re slurry Agitator Train B,
0307T,Primary Precipitator,
0308A,Primary Precipitator Agitator,
0309P,Slurry Pump,
0310P,Centrate Pump,
0311K,Belt Filter Package,
0312P,Primary Re slurry Pump Train B,
0313P,Cloth Wash Pump Train B,
0314C,Hood Exhaust Fan Train B,
0315T,Product Re slurry Tank Train B,
0316A,Product Re slurry Agitator Train B,
0317P,Product Re slurry Pump Train B,
0318P,Primary Slurry Tank Caustic Wash Pump,90 P
0319P,Primary Precipitator Caustic Wash Pump,91 P
0321T,Spent nitric receiver,60 T/B
0322T,2nd wash receiver,63 T/B
0323T,3rd wash receiver,64 T/B
0324T,4th wash receiver,68 T/B
0325P,Spent nitric pump,62 P/B&C
0326P,2nd wash acid pump,72 P/B&C
0327P,3rd wash acid pump,73-P/B
0328P,4th wash acid pump,74 P/B
0329K,Demister,61 K/B
0341V,Primary Vacuum Pump,82 V/B
0342V,Dewatering Vacuum Pump,83 V/B
0343T,Seal Liquid Separator,84 T/B
0344P,Seal liquid Pump,85 P/B
0345H,Seal Liquid Cooler,86 H/B
0346K,Demister,88 K/B
Area 106,MNB Washing,
0601U,MNB Extraction Column,
0602T,MNB Washing Tank,
0603A,Washing Tank Agitator,
0604T,Centrifuge Mix Tank,
0605A,Mix Tank Agitator,
0606K,MNB Centrifuge,
0608T,Washed MNB Tank,
0609P,Washed MNB Pump,
Area 111,Benzene Stripping,
1101H,MNB Feed Exchanger,
1102U,Benzene Stripping Column,
1103H,MNB Reboiler,
1104H,Benzene Stripper Condenser,
1105P,MNB Reboiler Pump,
1107J,Benzene Water Evaporator,
1108P,Benzene Recycle Pump,
