# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
Number,Name,
Area 152,Sulphur Storage,
5201H,Sulphur Steaming Station,
5202M,Sulphur Unloading Station,
5203T,Sulphur Unloading Trench,
5204H,Sulphur Unloading Trench Heater,
5205M,Sulphur Railcar Mover,
5210M,Sulphur Conveyor,
5211H,Sulphur Conveyor Steaming Station,
5220T,Sulphur Melt Tank,
5221A,Sulphur Melt Agitator,
5222H,Sulphur Melt Heater,
5225T,Dirty Sulphur Tank,
5226A,Dirty Sulphur Agitator,
5227H,Dirty Sulphur Heater,
5228P,Dirty Sulphur Pump,
5229K,Sulphur Strainer,
5230K,Sulphur Filter,
5231M,Sludge Cart,
5232T,Sulphur Tote,
5235T,Filter Precoat Tank,
5236A,Filter Precoat Agitator,
5237H,Filter Precoat Heater,
5238P,Filter Precoat Pump,
5240T,Liquid Sulphur Unloading Tank,
5241H,Liquid Sulphur Unloading Tank Heater,
5242P,Liquid Sulphur Unloading Pump,
5245T,Clean Sulphur Tank,
5246P,Clean Sulphur Pump,
5247H,Clean Sulphur Tank Heater,
5250T,Sulphur Distribution Tank,
5252P,Sulphur Distribution Tank Pump,
5253H,Sulphur Distribution Tank Heater,
Area 161,Regeneration,
6101C,Regeneration Air Fan,
6102H,Regeneration Air Heater,
6103D,Regeneratoin Air Inlet Screen,
6110F,Regeneration Preheat Furnace,
6111H,Regeneration Preheat Exchanger,
6112C,Combustion Air Fan,
6113C,Dilution Air Fan,
6114F,Regeneration Preheat Stack,
6119D,Atomizing Air Inlet Screen,
6120C,Atomizing Air Compressor,
6121B,Spent Acid Nozzle,
6122B,Weak Acid Nozzle,
6130F,Regeneration Furnace,
6131F,Combustion Chamber,Fuel /Air
6132F,Fuel/Oxygen Combustor,
6133B,Sulphur Gun,
6134B,Hydrogen Sulphide Burner,Acid Gas Burner
6135T,Acid Gas Knock-Out Pot,
6136B,Oil Burner,
6137B,Fuel Gas Burner,
6140F,Furnace Transition Duct,
6150H,Regeneration Boiler,Water Tube
6151H,Regeneration Boiler,Fire Tube
6152T,Regeneration Steam drum,
6153X,Soot Blower,
Area 165,Gas Cleaning,
6505A,Static Mixer,
6510D,Quench Venturi,
6511U,Retention Vessel,
6512T,Quench Pump Tank,
6513P,Quench Pump,
6514K,Quench Filter,
6515T,Emergency Quench Water Tank,
6520D,Scrubber Venturi,
6521U,Separator Vessel,
6522T,Scrubber Pump Tank,
6523P,Scrubber Pump,
6530U,Gas Cooling Tower,
6531B,Cooling Tower Distributor,
6532K,Cooling Tower Mist Eliminator,
6533T,Cooling Tower Pump Tank,
6534P,Cooling Tower Pump,
6540H,Weak Acid Cooler,
6541C,Weak Acid Cooler Fan,
6543T,Weak Acid Holding Tank,
6544A,Weak Acid Holding Tank Agitator,
6545P,Weak Acid Filter Feed Pump,
6546K,Weak Acid Filter,
6547T,Weak Acid Filtrate Tank,
6548P,Weak Acid Filtrate Pump,
6550H,Wet Gas Condenser 1st Stage,
6551T,Condensate Tank,
6552P,Condensate Pump,
6553X,Vacuum Breaker,
6554A,Condensate Tank Agitator,
6560D,1st Stage ESP,
6561C,ESP Purge Air Fan,
6562H,ESP Purge Air Heater,
6563P,ESP Flushing Pump,
6569H,Wet Gas Condenser 2nd Stage,
6570D,2nd Stage ESP,
6571C,ESP Purge Air Fan,
6572H,ESP Purge Air Heater,
6573P,ESP Fogging Pump,
6575X,ESP Vacuum Breaker,
6576T,ESP Flushing Tank,
6577P,ESP Flushing Tank Pump,
6579C,Wet Gas Fan,
6580U,Weak Acid Stripper,
6581B,Weak Acid Stripper Distributor,
6582P,Weak Acid Pump,
6583D,Stripper Air Screen,
6584C,Stripper Air Fan,
6585H,Stripper Air Heater,
6590T,Sodium Silicate Storage Tank,
6591P,Sodium Silicate Transfer Pump,
6592T,Sodium Silicate Dilution Tank,
6593A,Sodium Silicate Agitator,
6594P,Sodium Silicate Injection Pump,
6597S,Weak Acid Sample Box,
6598T,Weak Acid Sump,
6599P,Weak Acid Sump Pump,
Area 167,Bisulphite Scrubber,
6710V,Na2CO3 Eductor,
6711P,Na2CO3 Mix Pump,
6712T,Na2CO3 Storage Tank,
6713T,Na2CO3 Pump Tank,
6714P,Na2CO3 Supply Pump,
6730D,Bisulphite Scrubber,
6732P,Sulphite Pump,
6733P,Bisulphite Pump,
6735H,Bisulphite Scrubber,
6740T,Bisulphite Storage Tank,
6741P,Bisulphite Product Pump,
6742K,Bisulphite Strainer,
6790T,Na2CO3 Sump,
6791P,Na2CO3 Sump Pump,
6795T,Biuslphite Sump,
6796P,Bisulphite Sump Pump,
Area 169,Mercury Removal,
6910U,Mercury Absorption Tower,
6911K,Mercury Tower Mist Eliminator,
6912B,Mercury Tower Distributor,
6913T,Mercury Absorption Pump Tank,
6914P,Mercury Absorption Pumps,
6920K,Primary Mercury Sludge Settler,
6925K,Secondary Mercury Sludge Settler,
6930T,Chlorination Tank,
6931A,Chlorination Tank Agitator,
6932P,Chlorination Pump,
6933X,Chlorinator,
6940T,Mercuric Chloride Feed Tank,
6950T,Mercury Effluent Collection Tank,
6952P,Mercury Effluent Pump,
