# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
Number,Name,
Area 10,Brine Preparation & Treatment,
1001M,Salt Transfer Crane,
1002M,Front End Loader,
1003T,Salt Hopper Pit,
1004P,Salt Hopper Pit Pump,
1005T,Salt Unloading Hopper,
1006M,Salt Conveyor Feeder,
1007M,Salt Stacking Conveyor,
1008M,Salt Washer,
1009M,Washed Salt Conveyor,
1010H,Water Heater,
1011T,Brine Saturator,
1012P,Raw Brine Pump,
1013P,Brine Saturator (Lixator) Sludge Pump,
1014T,Salt Storage Silo,
1015T,Lixator,
1016P,Lixator Pump,
1017V,Priming Ejector,
1018T,Brine Surge Tank or Raw Brine Tank,
1019P,Brine Surge Tank  Pump,
1020T,Sodium Carbonate Solution Tank,
1021A,Sodium Carbonate Solution Agitator,
1022P,Sodium Carbonate Transfer Pump,
1024T,Sodium Carbonate Storage Tank,
1025P,Sodium Carbonate Storage Pump,
1026H,Raw Brine Heater,
1027A,Magnesium Chloride Agitator,
1028T,Magnesium Chloride Mix Tank,
1029P,Magnesium Chloride Metering Pump,
1030R,Sulphate Reactor,
1031A,Sulphate Reactor Agitator,
1032P,Sulphate Sludge Pump,
1033T,Sulphate Settler,
1034U,Carbon Dioxide Scrubber,
1035T,Brine Treatment Tank,
1036A,Brine Treatment Agitator,
1037P,Lixator Solids Pump,
1038T,Sludge Collection Tank/Sump,
1039P,Sludge Collection Tank Pump,
1040T,Brine Clarifier,
1041A,Clarifier Rake,
1042P,Brine Sludge Pump,
1043K,Brine Sludge Filter,
1044M,Brine Sludge Filter Chute,
1045T,Coagulant Tank,
1046A,Coagulant Agitator,
1047P,Coagulant Metering Pump,
1048M,Coagulant Feeder,
1049A,Brine Sludge Tank Agitator,
1050T,Clarified Brine Tank,
1051H,Clarifier Brine Heater,
1052P,Clarified Brine Pump,
1053P,Brine Filter Feed Pump,
1054M,Brine Filter Chute,
1055K,Brine Filter,
1056K,Brine Guard Filter,
1057T,Filter Aid Tank,
1058A,Filter Aid Agitator,
1059P,Filter Aid Pump,
1060T,Filter Precoat Tank,
1061A,Filter Precoat Agitator,
1062P,Filter Precoat Pump,
1063T,Brine Backwash Gas Receiver,
