# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
Number,Name,
Area 90,Steam Systems,
9005F,Boiler,was 8340M
9006F,Burner,
9007C,Boiler Air Supply Fan,was  8393C
9008X,Boiler Motorized Damper,was  8398X
9009T,Steam Drum,
9020T,Boiler Feed Water Tank,was 8341T
9021P,Deaerator Feed Pump,was 8347P
9022H,BFW Preheater,
9025T,Deaerator,was 8346M
9030P,Boiler Water Feed Pump,was 8343P
9031H,Boiler Feed Sample Cooler,
9032H,Saturated Steam Sample Cooler,
9033H,Superheated Steam Sample Cooler,
9034H,Steam Export Desuperheater,was 8350H
9035H,Steam Import Desuperheater,
9036V,Steam Export Relief Valve Silencer,
9039P,Blowdown Drum Pump,
9040T,Continuous Blowdown Drum,was 8353T
9041K,Mist Eliminator,was 8342K
9042H,Blowdown Sample Cooler,
9043H,Blowdown Heat Exchanger,was 8354H
9045T,Intermittent Blowdown Drum,
9046K,Mist Eliminator,
9047H,Blowdown Cooler,
9050X,Blower Turbine,
9051H,Condenser,
9052T,Condensate Tank,was 8370T
9053P,Condensate Pump,was 8371P
9054V,Ejector,
9055H,Condensate Cooler,was 8373H
9070T,Chemical Dosing Tank,was 8345T
9071P,Chemical Dosing Pump,was 8344P
9080X,Turbine,
9081T,Turbine Lube Oil Reservoir,
9082H,Turbine Lube Oil Heater,
9083P,Turbine Lube Oil Pump,
9084P,Turbine Lube Oil Auxilliary Pump,
9085H,Turbine Lube Oil Cooler,
9086K,Turbine Lube Oil Filter,
9087C,Turbine Lube Oil Reservoir Fan,
9088X,Turning Gear,
9089P,Hydraulic Power Pump,
9090H,Turbine Condenser,
9091T,Turbine Condensate Tank,
9092P,Turbine Condensate Pump,
9093V,Ejector,
9094H,Inter/ After Condenser,
9095V,Hogging Ejector,
9096E,Generator,
9097H,Generator Cooler,
Area 91,Water  Circulating Systems,
9101T,Process Well Water Storage Tank,was 8348T
9102P,Process Well Water Pump,was 8349P
9105T,Seal Water Tank,was 8394T
9106P,Seal Water Pump,was 8395P
9107K,Seal Water Strainer,was 8329K
9110T,Fire Water Tank,was 8333T
9111P,Fire Water Pump,was 8334P
9120P,Potable Water Booster Pump,was 9150P
9125P,Process Water Booster Pump,was 9155P
9130K,Sea Water Screen,was 9170K
9131P,Sea Water Pump,was 9171P
9132K,Sea Water Filter,was 9172K
9133X,Sea Water Chlorinator,was 9173X
9134P,Sea Water Booster Pump,was 9174P
9140P,Heat Recovery Water  Pump,was 9160P
9141T,Heat Recovery Water  Head Tank,was 9161T
9142H,Trim Cooler+B101,was 9162H
9165H,Water Chiller,was 8335H
