# doc_id=4-SPC-0042 table=2 inline=true
"Table 1
Maximum Allowable Visual Defects - Quality Level 2","Table 1
Maximum Allowable Visual Defects - Quality Level 2","Table 1
Maximum Allowable Visual Defects - Quality Level 2"
Visual Defect,Corrosion Liner,Structural & Finish Layers
"Air Bubbles – Bubbles trapped within, on, or between plies of reinforcement (0.38mm (0.015 in.) dia. and larger).","1.6mm (1/16”) dia. in antiwicking barrier, 26.45 cm2 (2in2) averaged over 0.1m2 (1 ft2), but in no case more than 46.45cm2 (4in2)","As few as practically achievable but no larger than 6mm (¼”) dia.  Total combined area of all air bubbles  exceed 92.5 cm2m2 (12 in2yd2) for laminates up to 12.7 mm (½“) thick, and increased proportionately for thicker laminates.  In no case more than 4 per 6. 5 cm2 (4 per in2)."
Blisters,None Allowed.,"4.8 mm (3/16”) dia.
1.6 mm (1/16”) height
2 per 0.84 m2 (2 per yd2)"
Burned Areas from excessive cure temperature.,None Allowed.,None Allowed.
Chips,None Allowed.,"3.2mm (1/8”) Dia.
20.84 m2 (2yd2)
1.6mm (1/16”) deep"
Cracks,None Allowed.,None Allowed.
Crazing – Fine cracks at or under the surface of the laminate.,None Allowed.,"25.4 mm (1”) dia.
10.84 m2 (1yd2)
0.4 mm (164”) deep"
Delaminations,None Allowed.,None Allowed.
Dry Spots – Area of surface where the reinforcement has not been wetted with resin.  Not to be confused with glinting.,None Allowed,None Allowed.
Edge Delamination – Separation of the reinforcement layers at the edge of the laminate.,None Allowed.,None Allowed.
Foreign Inclusions – Anything other than raw material components. (Visible with naked eye.),None exposed to surface.,but no more than 6.4mm (¼“) dia. And 3 per 0.84 m2 (3 per yd2)
Pits – Small craters in the surface of the laminate.,"3.2mm (1/8”) dia
20.84 m2 (2yd2)
0.8mm (1/32”) deep","3.2mm (1/8”) dia.
4 per 0.84 m2 (4 per yd2)
1.6mm (1/16”) deep"
Surface Pinholes – Numerous visible pinholes in the surface of the laminate.,No exposed surfacing veil.,.
Scratches – Shallow marks or grooves caused by mishandling the laminate.,None Allowed.,"0.8mm (1/32”) deep
152mm (6”) long"
"Wrinkles – Linear, abrupt change in surface plane caused by lap or reinforcing layer, irregular mould surface, or wrinkled release film, resulting in a resin rich area that could be easily chipped.  Waviness is allowed provided it does not result in resin rich area.",3.2mm (1/8”) but must not decrease the laminate thickness below allowable.,Not Applicable
