# doc_id=4-SPC-0060 table=2 inline=true
Alloy,Weld Consumable
Low alloy (Cr-Mo) steels,7018
304L (T ≤ 250°C),308L/308/309
304 (T ≤ 250°C),308/309
304H/High Carbon 304 (T ≤ 250°C),308H
316L (T ≤ 250°C),309MoL
310 (T ≤ 250°C),INCO-WELD A/INCONEL 82/INCONEL 112
20Cb-3,INCO-WELD 686 CPT
Austenitic stainless steel (T > 250°C),INCO-WELD A/INCONEL 82/INCONEL 112
"Duplex (e.g. 2101, 2304, 2205)",2209
Super duplex (e.g. 2507),Consult Aker Kvaerner Chemetics
"Super austenitic (e.g. 254 SMO, AL6-XN)",INCO-WELD 686 CPT/ AVESTA P16
Nickel based alloys (e.g. Hastelloy),Consult Aker Kvaerner Chemetics
