# doc_id=5-LST-0003-1 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Chemical Plant)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18,col_19
,Project Title,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Standard-5-LST-0003-1-R0,,,,
,Service Code,Fluid,Fluid Composition,Material Description / Application,ASME B31.3 Fluid Class,Pressure Test Method,Flange Guard,"Corr. Allow.
(mm)","Service Pres.
(kPag)","Service Temp.
(oC)","Pipe Spec Service Limit
(kPag @ oC)",Pipe Spec,Gasket Spec,Valve Application,Valve Code,"Valve Size
(Min)","Valve Size
(Max)",Notes,
,AA,"Air, Atmospheric
(incl dilution air)",,"CPVC
(CA cell room purge)",D,Service,No,0,0 - 21,amb - 90,"1034 @ 38
234 @ 98
*",CP3,C,Check (swing),V4754**,50,300,"* Service Limits vary with temp.
** Remove spring for low dP.",CA
,,,,"PVC
(low press/temp, dilution air to ClO2 generator)",D,Service,No,0,0 - 140,amb - 45,"1034 @ 32
345 @ 60
*",PV6,C,On-Off / Isolation (b'fly),V2864,100,300,* Service Limits vary with temp.,SC
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3252,15,80,TT4 spool may be used for connection to ClO2 generator,SC
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3352,15,50,,SC
,,,,,,,,,,,,,,Check (ball - vertical),V4262,15,150,,CD
,,,,,,,,,,,,,,Check (lift - horizontal),V4266,25,150,,CD
,,,Wet H2 containing Cl2 is present during normal operation,"FRP wrapped CPVC
(dilution air to degasifiers)",N,Hydro or Pneum,No,0,0 - 90,amb - 90,"1034 @ 38
234 @ 98
*",CF1,C,On-Off / Isolation (b'fly),V2864,100,300,"* Service Limits vary with temp.

TT3 spool may be used for connection to the degasifier.",SC
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3253,15,80,,SC
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3353,15,50,,SC
,AV,"Air, Vent",,"304L Stainless Steel
(chlorate drying exhaust fan disch)",D,Service,No,0,atm,amb - 45,1034 @ 204,S43,C,On-Off / Isolation (ball-full port),V1233,15,100,Use V1231 if full port not req'd.,SC
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2864,100,300,,SC
