# doc_id=5-LST-0003 discipline=5 revision=R0
1.0,Service Code,Client Service Code,Fluid,Fluid Composition,"Material
Description",B31.3 Fluid Class,Pressure Test Method,Flange Guard,Corr. Allow. (mm),"Service Pres (kPag)
[max]","Service Temp (oC)
[max]",Pipe Spec,Gasket Spec,Valve Application,Valve Code,Valve Size (Min),Valve Size (Max),"Instrument
Connection
Type",Notes
,AA,,Atmospheric Air,,carbon steel duct,n/a,service,no,1.5,-7 / 7,343,CD7,W,On-Off / Isolation (ball),V1214,15,150,flanged,V1214 <260ºC only
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1213,15,150,,V1213 >260ºC
,,,,,,,,,,,,,,Damper,V2411,400,1800,,
,AC,,Plant Air,,"carbon steel
 galvanised",D,service,no,0,1034,100,CS4,B,On-Off / Isolation (ball),V1112,15,50,threaded,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,,
,,,,,,,,,,,,,,Check,V4131,15,50,,
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,flanged,
,AI,,Instrument Air,,"carbon steel
 galvanised",D,service,no,0,1034,100,CS4,B,On-Off / Isolation (ball),V1112,15,50,threaded,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,,
,,,,,,,,,,,,,,Check,V4131,15,50,,
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,flanged,
,AM,,Mask Air,,,D,service,no,0,900,amb,S44,B,On-Off / Isolation (ball),V1331,15,50,threaded,
,CG,,Calciner Off Gas,,carbon steel duct,n/a,service,no,1.5,±7,340,CD7,R,,,,,,
,CLP,,"Condensate
Low Pressure",,carbon steel,N,hydro,no,1.5,500,160,CS6,B,PI Isolation,V1112,15,50,threaded,
,,,,,,,,,,,,,,Check (lift),V4142,15,50,,
,,,,,,,,,,,,,,Check (swing),V4211,50,300,,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7211,50,300,,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,,
,CMP,,"Condensate
Med. Pressure",,carbon steel,N,hydro,no,1.5,ASME Class 150*,,CS6,Y,Check (lift),V4142,15,50,threaded,*Pressure -Temp ratings:
,,,,,,,,,,,,,,Check (swing),V4211,50,600,,1960 kPa @ 38ºC
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7211,50,600,,1770 kPa @ 100ºC
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7341,15,50,,1440 kPa @ 200ºC
,,,,,,,,,,,,,,Throttling (globe),V8211,80,300,,
,,,,,,,,,,,,,,Throttling (globe),V8341,15,50,,
