# doc_id=5-LST-0004 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Utilities)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18
,Project Title,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Standard-5-LST-0003-R0,,,
,Service Code,Fluid,Fluid Composition,Material Description / Application,ASME B31.3 Fluid Class,Pressure Test Method,Flange Guard,"Corr. Allow.
(mm)","Service Pres.
(kPag)","Service Temp.
(oC)","Pipe Spec Service Limit
(kPag @ oC)",Pipe Spec,Gasket Spec,Valve Application,Valve Code,"Valve Size
(Min)","Valve Size
(Max)",Notes
,AC,"Air, Compressed
(Plant / Mill Air)",,"Carbon Steel, Galvanised",D,Service,No,0,600 - 800,Amb,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,For SS valve use V1231.
,,,,,,,,,,,,,,Check (swing),V4131,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,For SS valve use V8131.
,,,,Carbon Steel,D,Service,No,1.5,600 - 800,Amb,1034 @ 204,CS9,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,
,,,,,,,,,,,,,,Check (swing),V4131,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,
,AI,"Air, Instrument","Dry, oil free air","Carbon Steel,
Galvanised",D,Service,No,0,600 - 800,Amb,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,For SS valve use V1231.
,,,,,,,,,,,,,,Check (swing),V4131,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,For SS valve use V8131.
,,,,Carbon Steel,D,Service,No,1.5,600 - 800,Amb,1034 @ 204,CS9,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,
,,,,,,,,,,,,,,Check (swing),V4131,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,
