# doc_id=5-LST-0011 discipline=5 revision=R0
col_0,FE,col_2,col_3,LT (NON-DP),col_5,col_6,col_7,col_8,col_9,PI / PS /PT,col_11,col_12,PI / PS,col_14,col_15,"PT
(Pipe < 80)",col_17,col_18,"PT
(Pipe ≥ 80 )",col_20,col_21,TW,col_23,col_24,"THERMOWELL ""U"" LENGTH (By Header Size)
FOR UNINSULATED PIPE",col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,MAXIMUM,REMARKS
PIPE SPEC.,ORIFICE PLATE PRESSURE TAP,,,VAPOUR SIDE,,,LIQUID SIDE,,,WITHOUT CHEMICAL SEAL,,,WITH CHEMICAL SEAL,,,WITH CHEMICAL SEAL,,,WITH CHEMICAL SEAL,,,(See Note 1),,,80.0,100.0,150.0,200.0,250.0,300.0,350.0,400.0,450.0,500.0,600.0,750.0,900.0,1000.0,1050.0,UP TO 3500,ROOT DIAMETER,
CF1,"1/2""",FNPT,,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,"2""",FLG.,150 FF,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,7.5,9.0,9.0,12.5,0.0,0.0,-,-,-,-,-,-,-,-,-,-,0.9125,
CP3,"1/2""",FNPT,,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,"2""",FLG.,150 FF,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,7.5,9.0,9.0,12.5,0.0,0.0,-,-,-,-,-,-,-,-,-,-,0.8945,
CS6,"1/2""",FNPT,,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FNPT,3000.0,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FNPT,3000.0,2.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5,4.5,7.5,-,-,-,-,0.9564999999999999,
CS9,"1/2""",FNPT,,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FNPT,3000.0,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FNPT,3000.0,2.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5,4.5,7.5,-,-,-,-,0.9564999999999999,
CS11,"1/2""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,6.5,7.5,7.5,7.5,7.5,7.5,-,-,-,-,-,-,-,-,-,-,0.8945,
FR5,,,,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,"2""",FLG.,150 FF,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,6.5,6.5,7.0,7.0,7.0,7.5,12.0,10.5,10.5,10.5,10.5,?,?,-,?,-,0.9375,
FR13,,,,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,"2""",FLG.,150 FF,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,6.5,6.5,7.0,7.0,7.0,7.5,12.0,10.5,10.5,10.5,10.5,?,?,-,?,-,0.9375,
PV6,"1/2""",FNPT,,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,"2""",FLG.,150 FF,"1-1/2""",FLG.,150 FF,"3""",FLG.,150 FF,"1""",FLG.,150 FF,7.5,7.5,9.0,12.5,0.0,0.0,-,-,-,-,-,-,-,-,-,-,0.8945,
S43,"1/2""",FNPT,,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,6.5,7.5,7.5,7.5,7.5,7.5,8.5,8.5,8.5,8.5,8.5,11.5,-,-,-,-,0.9564999999999999,
S44,"1/2""",FNPT,,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FNPT,3000.0,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FNPT,3000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
S63,"1/2""",FNPT,,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,6.5,7.5,7.5,7.5,7.5,7.5,8.5,8.5,8.5,8.5,8.5,11.5,-,-,-,-,0.9564999999999999,
TC4,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,6.0,7.5,8.5,8.5,9.5,9.5,-,-,-,-,-,-,-,-,-,-,1.1975,
TT3,"1/2""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,"1""",FLG.,150 RF,"1-1/2""",FLG.,150 RF,"3""",FLG.,150 RF,"1""",FLG.,150 RF,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,-,-,-,-,-,1.0345,
