# doc_id=5-SPC-0001 table=15 inline=true
,,B,R,A,N,C,H,,S,I,Z,E,,,
,,40,50,80,100,150,200,250,300,350,400,450,500,600,750
,750,S,S,S,S26,S26,S26,S26,S26,S26,S26,S26,S26,S26,S51
,600,S,S,S,S,S,S,S,S,S,S,S,S,S,
,500,S,S,S,S,S,S,S,S,S,S,S,S,,
H,450,S,S,S,S,S,S,S,S,S,S,S,,,
E,400,S,S,S,S,S,S,S,S,S,S,,,,
A,350,S,S,S,S,S,S,S,S,S,,,,,
D,300,S,S,S,S,S,S,S,S,,,,,,
E,250,S,S,S,S,S,S,S,,,,,,,
R,200,S,S,S,S,S,S,,,,,,,,
,150,S,S,S,S,S,,,,,,,,,
S,100,S,S,S,S,,,,,,,,,,
I,80,S,S,S,,,,,,,,,,,
Z,50,S,S,,,,,,,,,,,,
E,40,S,,,,,,,,,,,,,
