# doc_id=5-SPC-0001 table=4 inline=true
Specification,Title
5-SPC-0002,Bolting
5-SPC-0003,Gaskets
5-SPC-AB1,ABS Pipe
5-SPC-CD6,Carbon Steel Duct
5-SPC-CD7,Carbon Steel Duct
5-SPC-CF1,"CPVC Pipe, FRP Wrapped"
5-SPC-CP3,CPVC Pipe
5-SPC-CS4,"Carbon Steel Pipe, Galvanized (Threaded)"
5-SPC-CS6,"Carbon Steel Pipe (A53 Gr. B, Socket/Butt Weld, Threaded In-Lines, 150#)"
5-SPC-CS7,"Carbon Steel Pipe (A53 Gr. B, Socket/Butt Weld, Socket Weld In-Lines)"
5-SPC-CS8,"Carbon Steel Pipe (A53 Gr. B, Butt Weld)"
5-SPC-CS9,"Carbon Steel Pipe (A53 Gr. B, Threaded)"
5-SPC-CS11,"Carbon Steel Pipe (A106 Gr. B, Butt Weld)"
5-SPC-CS12,"Carbon Steel Pipe (A333 Gr. 1/6, Butt Weld)"
5-SPC-CS14,"Carbon Steel Pipe (A53 Gr. B, Socket/Butt Weld, Threaded In-Lines, 300#)"
5-SPC-CS20,"Carbon Steel Pipe, Steam Jacketed"
5-SPC-FR5,"FRP Pipe, Butt and Strap"
5-SPC-FR6,"FRP Pipe, Tapered Joint"
5-SPC-FR7,"FRP Pipe, Tapered Joint (High Temperature)"
5-SPC-FR9,"FRP Pipe, Spooled (High Temperature)"
5-SPC-FR10,"FRP Pipe, Integral Spooled (High Temperature)"
5-SPC-FR11,"FRP Pipe, Fire Retardant"
5-SPC-FR12,"FRP Pipe, 75# Pressure Rating"
5-SPC-FR13,"FRP Pipe, 25# Pressure Rating"
5-SPC-FR22,"FRP Pipe, Acid Plant"
5-SPC-NI1,Nickel Pipe
5-SPC-PF1,PP-FRP Dual Laminate Pipe
5-SPC-PP6,Polypropylene Pipe
5-SPC-PV6,PVC Pipe
5-SPC-PV7,PVC Duct
5-SPC-PVD1,PVDF Pipe
5-SPC-S10,310S Stainless Steel Pipe
5-SPC-S20,Alloy 20 Pipe
5-SPC-S21,Alloy 20 Pipe
5-SPC-S23,Saramet 23 Pipe
5-SPC-S35,Saramet 35 Pipe
5-SPC-S41,"304L Stainless Steel Pipe (Socket/Butt Weld, Threaded In-Lines)"
5-SPC-S42,"304L Stainless Steel Pipe (Socket/Butt Weld, Flanged In-Lines)"
5-SPC-S43,"304L Stainless Steel Pipe (Butt Weld, Flanged In-Lines)"
5-SPC-S44,"304L Stainless Steel Pipe (Butt Weld, Socket Weld/Threaded In-Lines)"
5-SPC-S63,"316L Stainless Steel Pipe (Butt Weld, Flanged In-Lines)"
5-SPC-S64,"316L Stainless Steel Pipe (Butt Weld, Socket Weld/Threaded In-Lines)"
5-SPC-SD3,316L Stainless Steel Duct
5-SPC-SD4,304H Stainless Steel Duct
5-SPC-TC3,PTFE Lined Carbon Steel Pipe - Field Flare
5-SPC-TC4,PTFE Lined Carbon Steel Pipe – Spooled
5-SPC-TG1,Glass-lined Carbon Steel Pipe
5-SPC-TS1,Teflon-lined Stainless Steel Pipe
5-SPC-TT3,Titanium Pipe – Grade 7 Face Ring
5-SPC-TT4,Titanium Pipe – Grade 2 Face Ring
5-SPC-TT5,Titanium Pipe – Lixator (all Titanium Grade 2)
5-SPC-TT6,Titanium Pipe - High Pressure
5-SPC-TT7,Titanium Pipe – Grade 7
5-SPC-VF6,"PVC Pipe, FRP Wrapped"
