# doc_id=5-SPC-0001 table=7 inline=true
,,,,,B,R,A,N,C,H,,S,I,Z,E,,,,
,,15,20,25,32,40,50,80,100,150,200,250,300,350,400,450,500,600,750
,750,C,C,C,C,C,S,S26,S26,S51,S51,S77,S77,S77,R,R,R,R,T
,600,C,C,C,C,C,S,S26,S26,S51,S51,S77,R,R,R,R,R,T,
,500,C,C,C,C,C,S,S26,S26,S51,S77,S77,R,R,R,R,T,,
H,450,C,C,C,C,C,S,S26,S26,S51,S51,R,R,R,R,T,,,
E,400,C,C,C,C,C,S,S26,S26,S51,R,R,R,R,T,,,,
A,350,C,C,C,C,C,S,S26,S26,S26,R,R,R,T,,,,,
D,300,C,C,C,C,C,S,S26,S26,S26,S26,R,T,,,,,,
E,250,C,C,C,C,C,S,S,S26,S26,R,T,,,,,,,
R,200,C,C,C,C,C,S,S,S,R,T,,,,,,,,
,150,C,C,C,C,C,S,S,R,T,,,,,,,,,
S,100,C,C,C,C,C,S,S,T,,,,,,,,,,
I,80,C,C,C,C,C,S,T,,,,,,,,,,,
Z,50,R,R,R,R,R,T,,,,,,,,,,,,
E,40,R,R,R,R,T,,,,,,,,,,,,,
,32,R,R,R,T,,,,,,,,,,,,,,
,25,R,R,T,,,,,,,,,,,,,,,
,20,R,T,,,,,,,,,,,,,,,,
,15,T,,,,,,,,,,,,,,,,,
