# doc_id=5-SPC-0001 table=9 inline=true
,,,,,B,R,A,N,C,H,,S,I,Z,E,,,
,,15,20,25,32,40,50,80,100,150,200,250,300,350,400,450,500,600
,600,S,S,S,S,S,S,S26,S26,S51,S51,S77,R,R,R,R,R,T
,500,S,S,S,S,S,S,S26,S26,S51,S51,R,R,R,R,R,T,
H,450,S,S,S,S,S,S,S26,S26,S51,S51,R,R,R,R,T,,
E,400,S,S,S,S,S,S,S26,S26,S51,R,R,R,R,T,,,
A,350,S,S,S,S,S,S,S,S,S,R,R,R,T,,,,
D,300,S,S,S,S,S,S,S,S,R,R,R,T,,,,,
E,250,S,S,S,S,S,S,S,S,S,S,T,,,,,,
R,200,S,S,S,S,S,S,S,S,S,T,,,,,,,
,150,S,S,S,S,S,S,S,S,T,,,,,,,,
S,100,S,S,S,S,S,S,R,T,,,,,,,,,
I,80,S,S,S,S,S,S,T,,,,,,,,,,
Z,50,S,S,S,S,S,T,,,,,,,,,,,
E,40,R,R,R,R,T,,,,,,,,,,,,
,32,R,R,R,T,,,,,,,,,,,,,
,25,R,R,T,,,,,,,,,,,,,,
,20,R,T,,,,,,,,,,,,,,,
,15,T,,,,,,,,,,,,,,,,
