# doc_id=5-SPC-0002 table=2 inline=true
ASME B16.5 / B16.47 Series A Class 150 Flanges,ASME B16.5 / B16.47 Series A Class 150 Flanges,ASME B16.5 / B16.47 Series A Class 150 Flanges
"Nominal Flange Size
(DN)",Imperial Bolt Diameter (inch),Metric Bolt Size
15,1/2,M14
20,1/2,M14
25,1/2,M14
32,1/2,M14
40,1/2,M14
50,5/8,M16
65,5/8,M16
80,5/8,M16
90,5/8,M16
100,5/8,M16
125,3/4,M20
150,3/4,M20
200,3/4,M20
250,7/8,M24
300,7/8,M24
350,1,M27
400,1,M27
450,1 ⅛,M30
500,1 ⅛,M30
600,1 ¼,M33
750,1 ¼,M33
900,1 ½,M33
1100,1 ½,M39
