# doc_id=5-SPC-0002 table=3 inline=true
ASME B16.5  / B16.47 Series A Class 300 Flanges,ASME B16.5  / B16.47 Series A Class 300 Flanges,ASME B16.5  / B16.47 Series A Class 300 Flanges
"Nominal Flange Size
(DN)",Imperial Bolt Diameter (inch),Metric Bolt Size
15,1/2,M14
20,5/8,M16
25,5/8,M16
32,5/8,M16
40,3/4,M20
50,5/8,M16
65,3/4,M20
80,3/4,M20
90,3/4,M20
100,3/4,M20
125,3/4,M20
150,3/4,M20
200,7/8,M24
250,1,M27
300,1 ⅛,M30
350,1 ⅛,M30
400,1 ¼,M33
450,1 ¼,M33
500,1 ¼,M33
600,1 ½,M39
750,1 ¾,M45
900,2,M52
1100,1 ⅝,M42
