# doc_id=5-SPC-0003 table=2 inline=true
Code,Common Name,Thk. (mm),Vendor Name,Notes
A,Blue GYLON® (PTFE w/ glass microspheres),1.6,Garlock 3504,
B,BLUE-GARD® (EPDM binder),1.6,Garlock 3700,
C,"EPDM, Peroxide cured",3.2,Prince 6962,3
D,Butyl Rubber,3.2,-,3
E,Off-white GYLON® (PTFE w/ barium sulfate),1.6,Garlock 3510,
F,Teflon Envelope (Slit),3.2,Darco 110B,2
G,Teflon Envelope (U Type),Note 7,,7
H,Fawn GYLON® (PTFE w/ silica),1.6,Garlock 3500,
J,BLUE-GARD® (Neoprene binder),1.6,Garlock 3300,
K,Fawn GYLON® (PTFE w/ silica),3.2,Garlock 3500,8
L,,,,
M,Teflon Nosed EPDM,3.2,Panacea® PT70-M,
N,,,,
P,Compressed Carbon Fiber (Nitrile binder),1.6,Garlock 9850,
Q,,,,
R,Compressed Carbon Fiber (SBR binder),3.2,Garlock 9800,
S,,,,
T,Viton B,3.2,Mosites #10125,3
U,Expanded PTFE,1.6,GORETM Style 800,6
V,Plasticized PVC,3.2,Panacea® R-3400,3
W,Woven Fiberglass Cloth,1.6,Zetex 800,
X,No Gasket,,,
Y1,Spiral Wound 304 SS,Note 4,Flexitallic CGl Flexicarb®,4
Y2,Spiral Wound 316 SS / CS,Note 5,Flexitallic CGI Flexicarb®,5
