# doc_id=5-SPC-0004 discipline=5 revision=R1
col_0,Client Name,col_2,col_3,col_4,Specification,col_6,col_7,col_8,col_9,col_10,"Aker Kvaerner
Chemetics
A Division of Aker Kvaerner Canada Inc.",col_12,col_13,col_14,col_15
,Project Title,,,,Valves,,,,,,,,,,
,Location,,,,,,,,,,,,,,
,,,,,,,,,,,Standard-5-SPC-0004-R1,,,,
,Valve #,Type,Connection,Material Group,Description,Benchmark,Model,Port,Std.,Rating,Size Range,Approved Manufacturers and Models,Altern.,Manufacturer,Model No.
,,,,,,,,,,Note 1,Note 2,,,Note 3,
,V1111,Ball,Screwed FNPT,Carbon Steel,"3 piece carbon steel body, stainless steel ball and stem, reinforced Teflon seats and seals, lever operated.",Contromatics,C7780-2-3,Full,,1000 WOG,1/4 to 50,"Grinnell GB3933.T-FP-CS
Durco BF3K TN LT X C66G 
Contromatics C7780-2-3",V1131,Contromatics,C7780-2-3
,V1112,Ball,Screwed FNPT,Carbon Steel,"2 piece carbon steel body, stainless steel ball and stem, reinforced Teflon seats, and seals, lever operated.",Contromatics,C7000-02-SS,Reduced,,1000 WOG,8 to 50,"Grinnell GB3932.TFPCS
Durco BR2K TN LT X C66G
Contromatics C7000-02-SS",V1132,Contromatics,C7000-02-SS
,V1113,Ball,Screwed FNPT,Carbon Steel,"1 piece carbon steel body, stainless steel ball and stem, reinforced Teflon seats, and seals, lever operated.",Contromatics,C7100-02-SS,Reduced,,1000 WOG,8 to 50,"Durco BRIJ TN LT XC66G
Contromatics C7100-02-SS",V1133,Contromatics,C7100-02-SS
,V1115,Ball,Screwed FNPT,Carbon Steel,"2 piece carbon steel body, 316 stainless steel ball and stem, reinforced Teflon seats and seals, standard port, lever operated. Fire safe design. UL listed and FM approved for LP or NG service.",Contromatics,C7000-SS-ULI,Reduced,API 607,1000 WOG,8 to 50,Contromatics C700-SS-ULI,,Contromatics,C7000-SS-ULI
,V1131,Ball,Screwed FNPT,Stainless Steel,"3 piece CF8M or 316 stainless steel body, ball and stem, reinforced Teflon seats and seals, lever operated.",Contromatics,C8780-23,Full,,1000WOG,8 to 50,"Grinnell GB3933.TFP
Durco BF3K TN LT X 666G
FC #12H-3 Full Port
Meridian #M31SF",,Contromatics,C8780-23
,V1132,Ball,Screwed FNPT,Stainless Steel,"2 piece CF8M or 316 stainless steel body, ball and stem, reinforced Teflon seats and seals, lever operated.",Contromatics,S8000-02-SS,Reduced,,1000WOG,8 to 50,"Grinnell GB3932.TFP
Durco BR2K TN LT X 666G
FC #12B-HP-Full Port
Meridian #M22SF Full Port",,Contromatics,S8000-02-SS
,V1133,Ball,Screwed FNPT,Stainless Steel,"1 piece CF8M or 316 stainless steel body, ball and stem, reinforced Teflon seats and seals, lever operated.",Contromatics,S8100-02-SS,Reduced,,800WOG,8 to 50,"Grinnell GB3931T
Durco BRIJ TN LT X 666G
FC#13B-1 Reduced Port
Meridian #M11S Red. Port",,Contromatics,S8100-02-SS
,V1134,Ball,Screwed FNPT,Stainless Steel,"1 piece CF8M or 316 stainless steel body, ball stem (one piece), virginTeflon seat, Teflon seal, handle operated.",,,,,,8 to 50,,,,
,V1152,Ball,Screwed FNPT,Plastic,"Screwed ball valve.  PVC Grade A body, ball and stem.  Teflon seats, EPDM seals.",Chemline,21AxxxET,Full,ASTM D-1784-Gr A,"CWP 230
CWP 150
150 PSI @
49 Deg. C","15 to 50
65 to 100",Asahi #1601xxx,,Chemline,21AxxxET
,V1153,Ball,Screwed FNPT,Plastic,"Screwed ball valve.  CPVC Grade A Body, Ball and Stem Teflon seats, EPDM seals.",Chemline,21CxxxET,Full,ASTM D-1784-Gr A,"CWP 230
CWP 150
55 PSI @
90 Deg. C","15 to 50
65 to 100",Asahi #1609xxx,,Chemline,21CxxxET
,V1156,Ball,Screwed FNPT,Plastic,"Screwed ball valve.  PVC Grade A body, ball and stem.  Teflon seats, Viton seals.",Chemline,21AxxxVT,Full,ASTM D-1784-Gr A,"CWP 230
CWP 150
150 PSI @
49 Deg. C","15 to 50
65 to 100",Asahi #1605xxx,,Chemline,21AxxxVT
,V1157,Ball,Screwed FNPT,Plastic,"Screwed ball valve.  CPVC Grade A body, ball and stem.  Teflon seats, Viton seals.",Chemline,21CxxxVT,Full,ASTM D-1784-Gr A,"CWP 230
CWP 150
55 PSI @
90 Deg. C","15 to 50
65 to 100",Asahi #1613xxx,,Chemline,21CxxxVT
,V1158,Ball,Screwed (Hose x MNPT),Plastic,Stopcock. All PVC construction.  Viton seats and seals Hose x MNPT connections.,Chemline,LCMTV,Full,ASTM D-1784-Gr A,"150 PSI @
50 Deg. C",150,Asahi #1078002,,Chemline,LCMTV
,V1211,Ball,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 RF, ball valve. A216 WCB Carbon steel body, 316 stainless steel ball and stem.  Reinforced teflon seats and seals.",Contromatics,1501-212A,Reduced,B16.34-1998,150.0,15 to 300,,,Contromatics,1501-212A
,V1212,Ball,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 RF, ball valve.  A216 WCB carbon steel body, monel ball and stem.  Reinforced Teflon seals and gasket.  Body vented to upstream.  A193 B7 bolting. Epoxy coated.  Oval handwheel for 2” and less. Per Chlorine Institute Pamphlet 6.  Cleaned and dried for chlorine service.  Note: For Gaseous Chlorine Service Only.",Worcester,CL51/52-47RT-150,Reduced,,150.0,15 to 100,,,Worcester,CL51/52-47RT-150
,V1213,Ball,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 RF, ball valve, top entry. A216 WCB Carbon steel body, 316 stainless steel ball and stem.  Graphite seats and seals.",McCanna,S151-CS-G-S6,Reduced,,150.0,15 to 350,,,McCanna,S151-CS-G-S6
,V1214,Ball,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 RF, ball valve, top entry. A216 WCB Carbon steel body, 316 stainless steel ball and stem.  Reinforced teflon  seats and seals.",McCanna,S151-CS-R-S6,Reduced,,150.0,15 to 350,,,McCanna,S151-CS-R-S6
,V1215,Ball,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 RF, ball valve. A216 WCB Carbon steel body, 316 stainless steel ball and stem.  Reinforced teflon seats and seals.  Fire safe design.  UL listed and FM approved for LP or NG service.",Contromatics,1501-212A-ULI,Reduced,ULI-YPRV/YSDT,150.0,15 to 300,,,Contromatics,1501-212A-ULI
,V1216,Ball,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 RF, ball valve. A216 WCB Carbon steel body, 316 stainless steel ball and stem.  Reinforced teflon seats and seals.  Full port.",Contromatics,1801-212A,Full,,150.0,15 to 300,,,Contromatics,1801-212A
,V1231,Ball,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF, ball valve.  CF8M or 316 stainless steel body, ball and stem.  Reinforced teflon seats and seals.",Contromatics,2501-212A,Reduced,,150.0,15 to 300,,,Contromatics,2501-212A
,V1232,Ball,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF, ball valve.  CF8M or 316 stainless steel body, ball and stem.  Reinforced teflon seats and seals.  Ball to be vented to upstream side when closed.  Valve to contain cast arrow to indicate flow direction.",Contromatics,2501-212A-VB,Reduced,,150.0,15 to 300,,,Contromatics,2501-212A-VB
,V1233,Ball,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF ball valve.  CF8M or 316 stainless steel body, ball and stem.  Reinforced teflon seats and seals.  Full port.",Contromatics,2801-212A,Full,,150.0,15 to 300,,,Contromatics,2801-212A
,V1234,Ball,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF, ball valve.  CF8M or 316 stainless steel body, ball and stem.  Full port.  Reinforced teflon seats and seals.  Steam jacketed.",Contromatics,SJ2801-212A,Full,,150.0,15 to 300,,FJG411 Durco Plug,Contromatics,SJ2801-212A
,V1235,Ball,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF Ball Valve, top entry.  CF8M or 316 stainless steel body, ball and stem.  Graphite seats and seals.",McCanna,S151-S6-G-S6,Reduced,,150.0,15 to 350,,,McCanna,S151-S6-G-S6
,V1236,Ball,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF, ball valve.  CF8M or 316 stainless steel body, ball and stem.  Reinforced teflon seats and seals.  Fire safe design.",Worcester,2501-162,Reduced,API 607 4th Ed,150.0,15 to 300,,,Worcester,2501-162
,V1237,Ball,"Flanged B16.5
150# RF",Stainless Steel,"Class 150 RF, ball valve.  CF8M or 316 stainless steel body, ball and stem.  Virgin teflon seats and seals.",Contromatics,2501-212A,Reduced,,150.0,15 to 300,,V1231,Contromatics,2501-212A
,V1252,Ball,"Flanged B16.5
150# RF",Plastic,"225 CWP FF, ball valve.  PVC Grade A body, ball and stem.  Teflon seats, EPDM seals.",Chemline,21AxxxEF,Full,ASTM D-1784-Gr A,CWP 225,15 to 100,,,Chemline,21AxxxEF
,V1253,Ball,"Flanged B16.5
150# RF",Plastic,"225 CWP FF ball valve.  CPVC Grade A body, ball and stem.  Teflon seats, EPDM seals.",Chemline,21CxxxEF,Full,ASTM D-1784-Gr A,CWP 225,15 to 100,,,Chemline,21CxxxEF
,V1256,Ball,"Flanged B16.5
150# RF",Plastic,"225 CWP FF, ball valve.  PVC Grade A body, ball and stem.  Teflon seats, Viton seals.",Chemline,21AxxxVF,Full,ASTM D-1784-Gr A,CWP 225,15 to 100,,,Chemline,21AxxxVF
,V1257,Ball,"Flanged B16.5
150# RF",Plastic,"225 CWP FF, ball valve.  CPVC Grade A body, ball and stem.  Teflon seats, Viton seals.",Chemline,21CxxxVF,Full,ASTM D-1784-Gr A,CWP 225,15 to 100,,,Chemline,21CxxxVF
,V1259,Ball,"Flanged B16.5
150# FF",Plastic,"150#, FF ball valve, reduced port.  Glass fibre reinforced vinyl ester body and ball, reinforced TFE seats, TFE packing, TFE coated Viton o-ring seal and stainless steel bolts.",,,Reduced,,"CWP 275
CWP 150","25 to 150
200",,,Nil-Cor,310 R-T-S
,V1261,,"Flanged B16.5
150# RF",Plastic Lined,"Class 150 RF, lined ball valve.  Tefzel lined ductile iron body. Tefzel lined ball and stem.  Reinforced teflon seats and seals.",ITT Engineered Valves,Camline 1059,Reduced,,150.0,15 to 150,,,ITT Eng Valves,Camline 1059
,V1264,Ball (3-way),"Flanged B16.5
150# RF",Plastic Lined,Class 150 RF 3-way ball valve. PFA lined ductile iron body and ball.  Lever operated,Atomac,AMP3-L/T,Reduced,,CWP 275,25 to 80,,,Atomac,AMP3-L/T
,V1266,Ball,"Flanged B16.5
150# RF",Plastic Lined,"Class 150 RF, lined ball valve.  PFA lined ductile iron body. PFA lined ball and stem.  PTFE seats and seals.",Atomac,AKH3-PFA,Reduced,,CWP 275,25 to 250,,,Atomac,AKH3-PFA
,V1267,Ball,"Flanged B16.5
150# RF",Plastic Lined,Class 150 RF lined ball valve.  PFA lined ductile iron body. PFA lined ball and stem.  PTFE seats and seals. Full port.,Atomac,AKH2A-PFA,Full,,CWP 275,25 to300,,,Atomac,AKH2A-PFA
,V1281,Ball,"Flanged B16.5
150# RF",Alloy,"Class 150 RF, split-body full port ball valve.  CN7M or Alloy 20 body, ball and stem.  Reinforced teflon seats and seals.",Noble,FR150FA2A2RT,Reduced,,150.0,15 to 300,,,Watts,SF-3500-150-01
,V1282,Ball,"Flanged B16.5
150# RF",Alloy,"Class 150 RF, ball valve.  CN7M or Alloy 20 body, ball and stem.  Graphite seats and seals",Noble,FR150FA2A2GT,Reduced,,150.0,15 to 300,,,,
,V1291,Metering Ball,"Flanged B16.5
150# RF",Special,"150 CWP FF Metering ball valve. Polypropylene body, EPDM seats.",Chemline,,,,,,,,Chemline,
,V1311,Ball,Socket Weld,Carbon Steel,"3 piece carbon steel body, stainless steel ball and stem, reinforced Teflon seats and seals, lever operated.",Worcester,5946-RT-SW,Full,,600.0,6 to 50,,,Worcester,5946-RT-SW
,V1312,Ball,Socket Weld,Carbon Steel,"2 piece carbon steel body, stainless steel ball and stem, reinforced Teflon seats, and seals, lever operated.",should not use 2-pc SW,,Reduced,,,,,,2-pc SW valves not recommended,
,V1313,Ball,Socket Weld,Carbon Steel,"A105 or A216 WCB Carbon steel body, stainless steel ball and stem, reinforced Teflon seats, and seals, lever operated. For steam service to 150WSP",Contromatics,C7481 02 SS,Full,,800.0,6 to 50,"Worcester 5944-RT-SW
Durco BF38-SX-LG-X-C66G
Grinnell 3933-SW-SP-CS",,Contromatics,C7481 02 SS
,V1315,Ball,Socket Weld,Carbon Steel,"A105 or A216 WCB Carbon steel body, 316 stainless steel ball and stem, reinforced Teflon seats and seals, standard port, lever operated. Fire safe design. UL listed and FM approved for LP or NG service.",Contromatics,C7451-SS-ULI,Reduced,,600.0,6 to 50,,,Contromatics,C7451-SS-ULI
,V1331,Ball,Socket Weld,Stainless Steel,"3 piece CF3M or 316L stainless steel body, ball and stem, reinforced Teflon seats and seals, lever operated.",Worcester,5966-RT-SW,Full,,600.0,6 to 50,,,Worcester,5966-RT-SW
,V1332,Ball,Socket Weld,Stainless Steel,"2 piece CF3M or 316L stainless steel body, ball and stem, reinforced Teflon seats, Teflon seals, lever operated.",should not use 2-pc SW,,,,,,,,2-pc SW valve not recommended,
,V1333,Ball,Socket Weld,Stainless Steel,"CF3M or 316L stainless steel body, ball and stem, reinforced Teflon seats, Teflon seals, lever operated. Full port.",Worcester,5966-TT-SW,Full,,600.0,6 to 100,,,Worcester,5966-TT-SW
,V1336,Ball,Socket Weld,Stainless Steel,"CF3M or 316L stainless steel body, ball and stem, reinforced Teflon seats, Teflon seals, lever operated. Fire safe design.",Worcester,FZ4466-RG-SW,Reduced,,600.0,15 to 50,,,Worcester,FZ4466-RG-SW
,V1337,Ball,Socket Weld,Stainless Steel,"CF3M or 316L stainless steel body, ball and stem, virgin Teflon seats, Teflon seals, lever operated.",Contromatics,S8481-01-SS,Full,,600.0,6 to 50,Worcester 5966-TT-SW,,Contromatics,S8481-01-SS
,V1352,Ball,Socket,Plastic,"Socket weld ball valve.  PVC Grade A body, ball and stem.  Teflon seats, EPDM seals.  True union design.",Chemline,21AxxxES,Full,,"CWP 230
CWP 150
150 PSI @
49 Deg. C","15 to 50
65 to 100",Asahi #1601xxx,,Chemline,21AxxxES
,V1353,Ball,Socket,Plastic,"Socket weld ball valve.  CPVC Grade A body, ball and stem.  Teflon seats, EPDM seals.  True union design.",Chemline,21CxxxES,Full,,"CWP 230
CWP 150
55 PSI @
90 Deg. C","15 to 50
65 to 100",Asahi #1609xxx,,Chemline,21CxxxES
,V1356,Ball,Socket,Plastic,"Socket weld ball valve.  PVC Grade A body, ball and stem.  Teflon seats.  Viton seals.  True union design.",Chemline,21AxxxVS,Full,,"CWP 230
CWP 150
150 PSI @
49 Deg. C","15 to 50
65 to 100",Asahi #1605xxx,,Chemline,21AxxxVS
,V1357,Ball,Socket,Plastic,"Socket weld ball valve.  CPVC Grade A body, ball and stem.  Teflon seats, Viton seals.  True union design.",Chemline,21CxxxVS,Full,,"CWP 230
CWP 150
55 PSI @
90 Deg. C","15 to 50
65 to 100",Asahi #1613xxx,,Chemline,21CxxxVS
,V1358,Ball,Socket,Plastic,"Socket Weld, True Union, ABS ASTM D3965 Cell Classification 55535 Body and Ball, Viton Seal, Rating : 230 psig at 73 deg F, Special Materials of Construction for compressed air services.",Chemline,Air-Pro,Full,,CWP230,15 to 50,Duraplus #880 xxx,,Chemline,Air-Pro
,V1364,"3-Way
Ball",Socket,Stainless Steel,"CF3M or 316L stainless steel body, ball and
stem, virgin Teflon seats, Teflon seals, lever
operated",TBV,,,,,,,,TBV,
,V1531,Ball,Compression,Stainless Steel,"Multi-service ball valve.  316SS construction.  Viton seals, TFE seats.",Swagelok,62TS,Reduced,,,,,,Swagelok,62TS
,V1532,Ball,Compression,Stainless Steel,"Multi-service ball valve.  316 SS construction.  Viton seals, TFE seats. *Ball to be vented (drilled).  Note: Valve to be installed so that when closed the ball is vented to upstream side.",Swagelok,62TS-V,Reduced,,,,,,Swagelok,62TS-V
,V1533,Ball,Compression,Stainless Steel,"Multi-service ball valve.  316SS body, ball and stem. Reinforced Teflon seats and seals.",Swagelok,63TS,Reduced,,CWP 1000,,,,Swagelok,63TS
,V2251,Butterfly,Flanged,Plastic,Flanged butterfly damper.  Custom fabricated FRP per Chemetics specification,Chemline,DBF,,,Custom,400 to 1800,,,Chemline,DBF
,V2266,Butterfly,"Flanged B16.5
150# RF",Plastic Lined,"150 CWP RF, flanged butterfly valve.  PTFE lined ductile iron body.  Viton backup elastomer.  PFA encapsulated disc.",Durco,BTW-480/1-V,Reduced,,CWP150,50 to 600,,,Durco,BTW-480/1-V
,V2411,Butterfly,Butt Weld,Carbon Steel,"Butterfly damper.  Carbon steel body and disc, 316 stainless steel shaft, carbon steel or ceramic tadpole seats, inboard carbon shaft bushing, outboard greasless shaft ball bearing.  Shaft stuffing boxes with packing and double lantern rings, sealant and purge connections on both stuffing boxes piped to a common port with SS tubing.  Custom fabricated per Chemetics specification",Frisch,20-015-AAAG-T,,,Custom,50 to 3600,,,Frisch,20-015-AAAG-T
,V2431,Butterfly,Butt Weld,Stainless Steel,"Butterfly damper.  Stainless steel (A240 Type 304H) body and disc, 316 stainless steel shaft, stainless steel or ceramic tadpole seats, inboard carbon shaft bushing, outboard greasless shaft ball bearing.  Shaft stuffing boxes with packing and double lantern rings, sealant and purge connections on both stuffing boxes piped to a common port with SS tubing.  Custom fabricated per  Chemetics specification",Frisch,20-015-AFAF-T,,,Custom,50 to 3600,,,Frisch,20-015-AFAF-T
,V2711,Butterfly,"Wafer
B16.5 150#",Carbon Steel,"Class 150, wafer type, butterfly valve.  A216 WCB Carbon steel body, 316 stainless steel disc and stem, teflon seat and seal.",Durco,BX2W181SS1V0/1,,API 609,,50 to 900,,,Durco,BX2W181SS1V0/1
l,V2716,Butterfly,"Wafer
B16.5 300#",Carbon Steel,"Class 300, wafer sphere, hi performance, cast steel butterfly valve c/w gear operator. Cast steel body, epoxy coated, monel disc & shaft, reinforced PTFE seats & PTFE seals. Cleaned & dried for chlorine service.",,,,,300.0,80 to 600,,,Jamesbury,830WC-11-2271MT
