# doc_id=5-SPC-0104 table=2 inline=true
Pipe Specification,Instructions or Specification
Metal Piping,
CD6/7 – Carbon Steel Ducting,5-SPC-XXXX
CSX - Carbon Steel,5-SPC-0148
CS4 – Galvanised Carbon Steel,Appendix CS4
CS11 - Carbon Steel - Dry Chlorine Gas,5-SPC-0101
CS12 - Carbon Steel – Liquid Chlorine,5-SPC-0101
CS20 – Carbon Steel – Sulphur Heat Traced,5-SPC-0148 / Appendix CS20
NI1 – Nickel,5-SPC-XXXX
SSXX - Stainless Steel Piping,5-SPC-121
TT3 - Titanium – Gr. 7 Face Rings,5-SPC-XXXX
TT6 - Titanium,5-SPC-XXXX
TC4 – Teflon Lined,Appendix TC4
Plastic Piping,
CP3 - CPVC,Appendix CP3
"CF1 - CPVC, FRP Wrapped","Appendix CF1, Appendix CP3"
FR5 - FRP Butt and Strap,Appendix FR5
FR6/7 - ABCO P-150/P150,Appendix FR6/7
FR9 - FRP Butt and Strap,Appendix FR9
FR11 - FRP Butt and Strap,Appendix FR11
FR12 - FRP Butt and Strap,Appendix FR12
FR13 - FRP Butt and Strap,Appendix FR13
FR22 - FRP Butt and Strap,Appendix FR22
"PF1 – PP , FRP Wrapped","Appendix PF1, Appendix PP6"
PP6 - Polypropylene,Appendix PP6
PV6 - PVC,Appendix PV6
PVD1 - PVDF pipe,Appendix PVD1
PV7 – PVC Duct,Appendix PV7
"VF6 - PVC, FRP Wrapped","Appendix VF6, Appendix PV6"
