"# doc_id=5-SPC-CF1-R0 CPVC Pipe, FRP Wrapped discipline=5 revision=R0"
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,"CPVC Pipe, FRP Wrapped",,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-CF1-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,37748.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K. Kamachi
D. Mah",,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,38,,65,,71,,76,,82,,93,,98,,,,82,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,,,
,(Note 1),,,,,,Press.:,,,,kPag,,,1034.0,,689.0,,620.0,,503,,393,,282,,234,,,,FV,,(< DN150),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SIZE
(mm)",,,,,,Pipe Nominal (DN),,,,,,15,,,20,,,25,,,32,,,40,,,50,,,80,,,100,,,150,,,2001,,,2501,,,3001,,,,,,,,,,,,,,
,,,,,,,Pipe Wall Thk,,,,,,Schedule 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Overlay Thk,,,,,,3.3,,,3.3,,,3.3,,,3.3,,,3.3,,,4.3,,,4.3,,,4.3,,,4.3,,,4.3,,,4.3,,,4.3,,,,,,,,,,,,,,
,,,,,,,Overlay Material,,,,,,Fibre Glass Reinforced Vinyl Ester Resin (FRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASTM F441-CPVC4120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM D1784 Class 23447-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Molded Socket Type Pressure Fittings + FRP overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Note 2),,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"ASTM F-439, Schedule 80, Rating will meet or exceed service limits above (Note 7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fitting Material,,,,,,ASTM D1784 Class 23447-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type,,,,,,"Van Stone or FF Serrated Face Solid Socket Type, FRP Overlay on Flange Hub only, 
ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,Rating will meet or exceed service limits above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,"FF, ASME B16.5 Class 150 Dimension, FRP Overlay on outside only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Flange Material,,,,,,ASTM D1784 Class 23447-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"FF, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN LINE ITEMS,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,"Pressure / temperature limits based on NIBCO/Chemtrol for non-shock service.  DN200 molded fittings have lower ratings than listed above and are rated as follows:
38 C / 732 kPag, 65 C / 405 kPag, 71 C / 344 kPag, 76 C / 275 kPag, 82 C / 215 kPag, 93 C / 155 kPag, 98 C / 129 kPag.  
DN250 and DN300 CPVC flanges may have lower ratings as follows.  Vendor to confirm flange ratings:  38 C / 828 kPag, 65 C / 466 kPag, 71 C / 414 kPag, 76 C / 331 kPag, 82 C / 259 kPag, 93 C / 207 kPag, 98 C / 166 kPag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"For pipe diameters >DN200, fabricated fittings (not fully molded) with FRP outer reinforcement may be acceptable where service conditions permit, subject to Chemetics prior review and acceptance of the vendor fabrication standard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,"Reinforcement will be an overlay of reinforced vinyl ester resin. Resin will be Derakane® 411 or approved equal.  Derakane® 510C with 5% antimony trioxide or equal to achieve an ASTM E84 Class 1 flame spread rating will be used in the last two layers of chopped strand mat. The reinforcement will be commercial grade, E type glass fiber with silane finish compatible with the resin system. The outside exposed surface of all reinforcement will be pigmented (colour to be confirmed) and contain UV inhibitors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
