# doc_id=5-SPC-CP3-R1 CPVC Pipe discipline=5 revision=R1
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,CPVC Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-CP3-R1,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,1.0,,37806.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Mah,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,0.0,,37748.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K. Kamachi
D. Mah",,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,38,,65,,71,,76,,82,,93,,98,,,,82,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,,,
,(Note 1),,,,,,Press.:,,,,kPag,,,1034.0,,689.0,,620.0,,503,,393,,282,,234,,,,FV,,(< DN150),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SIZE
(mm)",,,,,,Nominal (DN),,,,,,15,,,20,,,25,,,32,,,40,,,50,,,80,,,100,,,150,,,2001,,,2501,,,3001,,,,,,,,,,,,,,
,,,,,,,Wall Thk,,,,,,Schedule 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASTM F441-CPVC4120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM D1784 Class 23447-B  (Note 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Molded Socket Type  Pressure Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note 2,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"ASTM F-439, Schedule 80, Rating will meet or exceed service limits above. (Note 6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM D1784 Class 23447-B  (Note 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type,,,,,,"Van Stone Socket Type with Solid Backing Flange, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,Ratings will meet or exceed service limits above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,"FF, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM D1784 Class 23447-B  (Note 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"FF, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,"Socket Weld (<= DN50) or FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN LINE ITEMS,,,,,,Type/Rating,,,,,,"Socket Weld (<= DN50) or FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,"Pressure / temperature limits based on NIBCO/Chemtrol for non-shock service.  DN200 molded fittings have lower ratings than listed above and are rated as follows:
38 C / 732 kPag, 65 C / 405 kPag, 71 C / 344 kPag, 76 C / 275 kPag, 82 C / 215 kPag, 93 C / 155 kPag, 98 C / 129 kPag. 
DN250 and DN300 CPVC flanges may have lower ratings as follows.  Vendor to confirm flange ratings:  38 C / 828 kPag, 65 C / 466 kPag, 71 C / 414 kPag, 76 C / 331 kPag, 82 C / 259 kPag, 93 C / 207 kPag, 98 C / 166 kPag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"For pipe diameters > DN200, fabricated fittings (not fully molded) with FRP outer reinforcement may be acceptable where service conditions permit, subject to Chemetics prior review and acceptance of the vendor fabrication standard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,"Stub-ins, rod and fusion welding are not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,Cement socket joints with CPVC solvent cement (ASTM F493) in accordance with ASTM D2855. Solvent cement will be orange in colour.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,CPVC materials will be grey in colour and will be formulated with sufficient UV stabilizers to provide for long term outdoor service in direct sunlight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
