# doc_id=5-SPC-CS7-R0 Carbon Steel Pipe discipline=5 revision=R0
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Carbon Steel Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-CS7-R0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,B,,R,,A,,N,,C,,H,,,,S,,I,,Z,,E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15.0,,20.0,,25.0,,32.0,,40.0,,50.0,,80.0,,100.0,,150.0,,200.0,,250.0,,300.0,,350.0,,400.0,,450.0,,500.0,,600.0,,750.0,,,,,,,,,,,,,
,,,,,,,,,,,750.0,,C,,C,,C,,C,,C,,S50,,S50,,S50,,S50,,S50,,S75,,S75,,S75,,S100,,S100,,S125,,R,,T,,,,,,,,,,,,,
,,,,,,,,,,,600.0,,C,,C,,C,,C,,C,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,S75,,S75,,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,,,500.0,,C,,C,,C,,C,,C,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,R,,T,,,,,,,,,,,,,,,,,
,,,,,,,,,H,,450.0,,C,,C,,C,,C,,C,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,R,,T,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,400.0,,C,,C,,C,,C,,C,,S50,,S50,,S50,,S50,,S50,,S50,,S50,,R,,T,,,,,,See Note 5 re: highlighted cells,,,,,,,,,,,,,,,
,,,,,,,,,A,,350.0,,C,,C,,C,,C,,C,,S,,S,,S,,S,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,300.0,,C,,C,,C,,C,,C,,S,,S,,S,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,250.0,,C,,C,,C,,C,,C,,S,,S,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R,,200.0,,C,,C,,C,,C,,C,,S,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,150.0,,C,,C,,C,,C,,C,,S,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,S,,100.0,,C,,C,,C,,C,,C,,S,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I,,80.0,,C,,C,,C,,C,,C,,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Z,,50.0,,C,,R,,R,,R,,R,,T,,,,,,,,,,,,LEGEND:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,40.0,,R,,R,,R,,R,,T,,,,,,,,,,,,,,C =,Coupling,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,32.0,,R,,R,,R,,T,,,,,,,,,,,,,,,,R =,Reducing Tee,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,25.0,,R,,R,,T,,,,,,,,,,,,,,,,,,T =,Straight Tee,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,20.0,,R,,T,,,,,,,,,,,,,,,,,,,,S =,"Stub-in, unreinforced",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,15.0,,T,,,,,,,,,,,,,,,,,,,,,,SX =,"Stub-in, reinforced with X mm wide repad (same thickness as header pipe)",,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,This table defines allowable branch connections.  Substitutions are permitted subject to Aker Kvaerner approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"All branch connections will be in accordance with ASME B31.3.  In the event of a conflict between B31.3 and this specification, B31.3 will govern.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,This table applies to branch connections made at 90º only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,Branch will not intersect with longitudinal weld of the run.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,"Reinforcement ""SX"" in highlighted cells is for vacuum condition only.  No reinforcement is required for pressurized pipes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
