# doc_id=5-SPC-DI1-R0 Ductile Iron Pipe discipline=5 revision=R0
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Ductile Iron Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-DI1-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,39244.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T. Wacker,,,,,,,T. Wacker,,,,,,,D. Shaw,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°F,,,68 to 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,
,,,,,,,Press.:,,,,psig,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(in)",,,,,,Nominal (NPS),,,,,,3,,,4.0,,,6.0,,,8.0,,,10.0,,,12.0,,,14.0,,,16.0,,,18.0,,,20.0,,,24.0,,,30.0,,,,,,,,,,,,,,
,,,,,,,Wall Thickness,,,,,,0.34,,,0.41,,,0.49,,,0.51,,,0.56,,,0.61,,,0.66,,,0.7,,,0.74,,,0.81,,,0.89,,,1.15,,,,,,,,,,,,,,
,,,,,,,Thickness Class,,,,,,54.0,,,56.0,,,58.0,,,58.0,,,59.0,,,60.0,,,61.0,,,62.0,,,63.0,,,65.0,,,67.0,,,69.0,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ANSI/AWWA C151/A21.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 536 Gr. 60-42-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Flanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,ANSI/AWWA C110/A21.10 ( APT Standard Thicknesses ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 395 Gr. 60-40-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,Hi-Hub Threaded/ASME B16.1 Class 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 536 Gr. 70-50-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"APT Step Ring, See 5-SPC-0003: Gaskets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002: Bolting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN-LINE ITEMS,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
