# doc_id=5-SPC-FD23-R0 FRP Duct discipline=5 revision=R0
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,FRP Duct,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-FD23-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,38119.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K. Kamachi,,,,,,,J. Purdy,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,-40 to 85,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,,,,2.8 mm Corrosion Liner,,,,,,,
,,,,,,,Press.:,,,,kPag,,,17.0,,,,,,(-17) vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(mm)",,,,,,Nominal,,,,,,<=600 use FR22,,,,,,,,,,> 600 to 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ID,,,,,,see FR22,,,,,,,,,,same as nominal diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wall Thk.,,,,,,see FR22,,,,,,,,,,See note (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,see FR22,,,,,,,,,,"Custom designed, shop spooled per Chemetics isometric drawings to be supplied",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,see FR22,,,,,,,,,,Vinyl Ester Resin Filament Wound (FW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,see FR22,,,,,,,,,,"Butt and Strap or Flanged, ID to match pipe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,see FR22,,,,,,,,,,Rating to match pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,see FR22,,,,,,,,,,"Vinyl Ester Resin, HLU or FW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,see FR22,,,,,,,,,,"Flat Face, Solid FRP, Butt and Strap, ID to match pipe, custom design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,see FR22,,,,,,,,,,"FF, Solid FRP, custom design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,see FR22,,,,,,,,,,"Vinyl Ester Resin, HLU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"FF, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,see FR22,,,,,,,,,,"Flanged , custom design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN-LINE ITEM,,,,,,Type/Rating,,,,,,see FR22,,,,,,,,,,"Flanged, custom design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,see FR22,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,see FR22,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,"Pipe, fittings, and joints, will meet the requirements of ASME B31.3.   The Vendor will submit a summary of the methods and codes used in design, fabrication, testing, and inspection.  Only ASME RTP-1, ASTM, or other industry accepted codes and standards, will be used.   Where requested the vendor will submit dimensional standards with design calculations and/or proof of design test results.  Structural laminate design calculations will be based on a minimum safety factor of 10:1 on ultimate tensile strength.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"Vinyl Ester resins Derakane® 411, Hetron® 922, Palatel A430 or Chemetics approved equivalent will be used for the corrosion liner, anti-wicking barrier, and structural layer.  For the exterior surface layer (final 1.5 mm) use Derakane® 510C with 5% antimony trioxide added to achieve an ASTM E84 Class 1 flame spread rating.  The exterior surface resin will contain a pigment (colour to be confirmed by Chemetics), UV inhibitor, and external wax/resin topcoat - i.e. hot coat. Curing system to be MEKP/CoNap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,"Laminate Construction:  Corrosion Liner/Anti Wicking Barrier, 0.125” minimum thickness, 1N+3CSM, HLU construction, excluded from structural calculations.  Structural Layer: HLU and/or FW construction. Exterior surface layer:  Finish with 1 layer of CSM + C-glass veil, and exterior resin coats, excluded from structural calculations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,One-piece molded fittings with integral structure are preferred.   Fittings made by intersecting (corrosion lined) pipes and overlapping the seam area with an additional corrosion liner are acceptable.  Smooth flow elbows will be supplied for 30” diameter and less - 2 or 3 piece mitered elbows may only be used on 36” and above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,"Typical field trim allowances to be 150 for ducting 100 diameter and less, 225 for ducting 1100 and above.   Field joint locations to be confirmed by Chemetics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,"Flanged branches 80 diameter and below, will be gusseted with 4 equi-spaced gussets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
