# doc_id=5-SPC-FR13-R1 FR 25# Pressure Rating discipline=5 revision=R1
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,"FRP Pipe, 25# Pressure Rating",,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-FR13-R1,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,1.0,,37805.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Mah,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,0.0,,37782.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K. Kamachi
D. Mah",,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE,,,,,,Temp.:,,,,°C,,,-40 to 85,,,,,,,,85,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,,,2.8 mm Corrosion Liner,,,,,,,,
,LIMITS,,,,,,Press.:,,,,kPag,,,172.0,,,,,,,,FV <= 800 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SIZE
(mm)",,,,,,Nominal (DN),,,,,,25,,40,,50,,80,,100,,150,,200,,250,,300,,350,,400,,450,,500,,600,,750,,900,,1100,,,,,,,,,,,,,,,
,,,,,,,ID,,,,,,25.4,,38.1,,50.8,,76.2,,101.6,,152.4,,203,,254,,305,,356,,406,,457,,508,,609,,762,,914,,1067,,,,,,,,,,,,,,,
,,,,,,,Wall Thk.,,,,,,1034 kPag structural wall,,,,,,,,172 kPag structural wall thickness to applicable codes per Vendor standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,Butt and Strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"Glass Fibre Reinforced Vinyl Ester Resin, Contact Molded (Hand Lay-Up) or Filament Wound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,"Butt & Strap or Flanged, ID to match pipe, custom dimensions per Chemetic standards (to be confirmed) (Note 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,Rating to match pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"Glass Fibre Reinforced Vinyl Ester Resin, Hand Lay-Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type,,,,,,"Flat faced, Solid FRP, or Custom Vanstone with ASTM A105 HD Galvanized Backing Ring (>= 350 diameter only), Butt and Strap, ID to match pipe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"Rating to match pipe, OD and bolt pattern per ASME B16.5 or ASME B16.47 Series A, Class 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,"Flat faced, Solid FRP, dimensions as above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,"Rating to match pipe, OD and bolt pattern per ASME B16.5 or ASME B16.47 Series A Class 300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"Glass Fibre Reinforced Vinyl Ester Resin, Hand Lay-Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"FF, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,"Flat faced Flanged, ASME B16.5 or ASME B16.47 Series A Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN LINE ITEMS,,,,,,Type/Rating,,,,,,"Flat faced Flanged, ASME B16.5 or ASME B16.47 Series A Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,"Flat faced Flanged, ASME B16.5 or ASME B16.47 Series A Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"Flat faced Flanged, ASME B16.5 or ASME B16.47 Series A Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,"Pipe, fittings, and joints, will meet the requirements of ASME B31.3.   The Vendor will submit a summary of the methods and codes used in design, fabrication, testing, and inspection.  Only ASME RTP-1, ASTM, or other industry accepted codes and standards, will be used.   Where requested the vendor will submit dimensional standards with design calculations and/or proof of design test results.  Structural laminate design calculations will be based on a minimum safety factor of 10:1 on ultimate tensile strength.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"Vinyl Ester resins Derakane® 411, Hetron® 922, Palatel A430 or Chemetics approved equivalent will be used for the corrosion liner, anti-wicking barrier, and structural layer.  For the exterior surface layer (final 1.5 mm) use Derakane® 510C with 5% antimony trioxide added to achieve an ASTM E84 Class 1 flame spread rating.  The exterior surface resin will contain a pigment (colour to be confirmed by Chemetics), UV inhibitor, and external wax/resin topcoat - i.e. hot coat. Curing system to be MEKP/CoNap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
