# doc_id=5-SPC-NI1-R0 Nickel Pipe discipline=5 revision=R0
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Nickel Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,B,,R,,A,,N,,C,,H,,,,S,,I,,Z,,E,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.5,,0.75,,1.0,,1.25,,1.5,,2.0,,3.0,,4.0,,6.0,,8.0,,10.0,,12.0,,14.0,,16.0,,18.0,,20.0,,24.0,,,,,,,,,,,,,,,
,,,,,,,,,,,24.0,,S,,S,,S,,S,,S,,S2,,S2,,S2,,S2,,S2,,S3,,S3,,S3,,S4,,S4,,S5,,T,,,,,,,,,,,,,,,
,,,,,,,,,,,20.0,,S,,S,,S,,S,,S,,S2,,S2,,S2,,S2,,S2,,S2,,S3,,S3,,S3,,S4,,T,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18.0,,S,,S,,S,,S,,S,,S2,,S2,,S2,,S2,,S2,,S3,,S3,,S3,,S4,,T,,,,,,,,,,,,,,,,,,,
,,,,,,,,,H,,16.0,,S,,S,,S,,S,,S,,S2,,S2,,S2,,S2,,S2,,S2,,S2,,S2,,T,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,14.0,,S,,S,,S,,S,,S,,S2,,S2,,S2,,S2,,S2,,S2,,S2,,T,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A,,12.0,,S,,S,,S,,S,,S,,S,,S,,S2,,S2,,S2,,S2,,T,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,D,,10.0,,S,,S,,S,,S,,S,,S,,S,,S,,S,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,8.0,,S,,S,,S,,S,,S,,S,,S,,S,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R,,6.0,,S,,S,,S,,S,,S,,S,,S,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4.0,,S,,S,,S,,S,,S,,S,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,S,,3.0,,S,,S,,S,,S,,S,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,I,,2.0,,S,,S,,S,,S,,S,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Z,,1.5,,R,,R,,R,,R,,T,,,,,,,,,,,,,,LEGEND:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,E,,1.25,,R,,R,,R,,T,,,,,,,,,,,,,,,,R =,Reducing Tee,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.0,,R,,R,,T,,,,,,,,,,,,,,,,,,T =,Straight Tee,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.75,,R,,T,,,,,,,,,,,,,,,,,,,,S =,"Stub-in, unreinforced",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5,,T,,,,,,,,,,,,,,,,,,,,,,SX =,"Stub-in, reinforced with X in. wide repad (same thickness as header pipe)",,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,This table defines allowable branch connections.  Substitutions are permitted subject to Aker Kvaerner approval.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"All branch connections will be in accordance with ASME B31.3.  In the event of a conflict between B31.3 and this specification, B31.3 will govern.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,This table applies to branch connections made at 90º only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,"1"" NPS and smaller fabricated stub-in connections will be reinforced with two gussets 90º apart.  Gussets will be made from 1 1/2"" wide x 1/8"" thick sheet and extend 3"" along",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,the run and the branch at 45º.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,"For vacuum service, stiffening rings are required as follows:",,,,,,,,,,,,,,,,,,,,Pipe Size (NPS),,,,,,Spacing (ft),,,,,,Thickness (in),,,,,,Width (in),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,10.75,,,,,,0.125,,,,,,1.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,9.25,,,,,,0.125,,,,,,1.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,9.75,,,,,,0.125,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,7.25,,,,,,0.125,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
