# doc_id=5-SPC-PF1-R0 PP-FRP Dual Laminate Pipe discipline=5 revision=R0
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,PP-FRP Dual Laminate Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-PF1-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,37902.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Mah,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,30 to 95,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,,,
,,,,,,,Press.:,,,,kPag,,,607.0,,,,,,FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SIZE
(mm)",,,,,,Nominal (DN),,,,,,15,,,20,,,25,,,32,,,40,,,50,,,65,,,80,,,100,,,150,,,200,,,250,,,300,,,,,,,,,,,
,,,,,,,PP liner Mfr / OD,,,,,,20,,,25,,,32,,,40,,,50,,,63,,,75,,,90,,,110,,,160,,,200,,,250,,,315,,,,,,,,,,,
,,,,,,,Liner Wall Thk,,,,,,1.9,,,2.3,,,3.0,,,3.7,,,4.6,,,5.8,,,4.3,,,5.1,,,6.3,,,6.2,,,4.9,,,6.1,,,7.7,,,,,,,,,,,
,,,,,,,Schedule,,,,,,DIN 8077 PN 10,,,,,,,,,,,,,,,,,,DIN 8077 PN6,,,,,,,,,PN 4,,,DIN 8077 PN 2.5,,,,,,,,,,,,,,,,,
,,,,,,,Overlay Thk,,,,,,4.8,,,4.8,,,4.8,,,4.8,,,4.8,,,4.8,,,4.8,,,4.8,,,6.3,,,6.3,,,9.4,,,9.4,,,11.2,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,Shop spooled per Chemetics isometrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"DIN 8078 PPH, Stress relieved c/w factory embedded glass fiber on outer surface.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Overlay Material,,,,,,Fiber glass reinforced vinyl ester resin (FRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,"Flanged or butt fusion type, PP liner with integral FRP overlay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,Rating to meet or exceed service limits above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,DIN 16774 PPR molded c/w factory embedded glass fiber on outer surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type,,,,,,PP liner with integral FRP flange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"Rating to meet or exceed service limits above, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,"ASME B16.5 Class 150 dimension, FRP with PP facing, or PP with carbon steel insert.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,"FF, ASME B16.5, Class 300 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Flange Material,,,,,,"DIN 8078 PPH Liner c/w factory embedded glass fiber on outer surfaces, FRP flange and hub overlay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"FF, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN LINE ITEMS,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,Polypropylene liner dimensions based on BLUEKOR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"The reinforcement will be an overlay of reinforced vinyl ester resin.  Resin will be Derkane® 411 or equal.  Derkane® 510C with 5% antimony trioxide or equal to achieve an ASTM E84 Class 1 flame spread rating will be used in the last two layers of mat.  The reinforcement will be commercial grade, E type, glass fiber with Silane finish compatible with the resin system.  The outside exposed surface of all reinforcement will be pigmented (colour to be confirmed) and contain UV inhibitors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,Reinforcement will be applied to lengths of piping to a thickness given above (see 'Overlay Thk').  The reinforcement will be applied by filament winding or hand lay-up to achieve a cured laminate of minimum 62 MPa ultimate tensile strength.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
