# doc_id=5-SPC-PP6-R0 Polypropylene Pipe discipline=5 revision=R0
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Polypropylene Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-PP6-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,37661.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Mah,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,30,,40,,50,,60,,70,,80,,95,,,,95,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,,,
,,,,,,,Press.:,,,,kPag,,,1070.0,,850.0,,650.0,,510,,370,,250,,140,,,,FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(mm)",,,,,,Nominal (DN),,,,,,10,,,15,,,20,,,25,,,32,,,40,,,50,,,65,,,80,,,100,,,150,,,200,,,250,,,300,,,,,,,,
,,,,,,,Mfr / OD,,,,,,16,,,20,,,25,,,32,,,40,,,50,,,63,,,75,,,90,,,110,,,160,,,225,,,280,,,315,,,,,,,,
,,,,,,,Wall Thk,,,,,,1.8,,,1.9,,,2.3,,,3.0,,,3.7,,,4.6,,,5.8,,,6.9,,,8.2,,,10.0,,,14.6,,,20.5,,,25.5,,,28.7,,,,,,,,
,,,,,,,Schedule,,,,,,DIN 8077 PN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,Extruded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"DIN 8078 PPH, stress relieved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Butt Weld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,DIN 16962 moulded PN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,DIN 16774 PPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type,,,,,,"Stub flange (moulded or machined) w/ loose back-up flange, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,DIN 16962 Part 4 PN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"DIN 16774 PPR, epoxy powder coated ductile iron, ASTM A536 Gr. 65/45/12 back-up flange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,ASME B16.5 Class 150 dimension / corrosion grade hand lay-up FRP with 3 mm PP facing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"IBC, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,"Butt Weld (< DN 50) or FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN LINE ITEMS,,,,,,Type/Rating,,,,,,"Butt Weld (< DN 50) or FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,Pressure / temperature limits based on Bluekor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Joints by butt fusion or flanged.  No hand welds permitted unless specifically indicated on drawings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 1 of 1,,,,,
