# doc_id=5-SPC-S23-R0 Saramet 23 Pipe discipline=5 revision=R0
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,SARAMET® 23 Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-S23-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,39231.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R. Naik,,,,,,,T. Wacker,,,,,,,D. Shaw,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°F,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,
,,,,,,,Press.:,,,,psig,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(in)",,,,,,Nominal (NPS),,,,,,1 1/2,,2.0,,3.0,,4.0,,6.0,,8.0,,10.0,,12.0,,14.0,,16.0,,18.0,,20.0,,24.0,,30.0,,,,,,,36.0,,,,,,,,42.0,,,,,,
,,,,,,,Wall Thickness,,,,,,0.134,,,,,,,,,,,,,,0.118,,0.197,,,,,,0.236,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASME B36.19M,,,,,,,,,,,,,,ASME B36.19M O.D. Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 240 UNS S30601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Butt Weld ASME B16.9 Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,See Note 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 240 UNS S30601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Stub Ends,,,,,,"MSS SP-43 Type A dimensions, schedule to match pipe (Note 3)",,,,,,,,,,,,,,,,,,,,,,,,,,"Custom Dimensions, schedule to match pipe (Note 3)",,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,Lap Joint/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,Lap Joint/Custom Design (ASME B16.47 Class 150 Series A dim.),,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,"ASTM A 105, epoxy coated",,,,,,,,,,,,,,,,,,,,,,,,,,"ASTM A 516 Gr. 70, epoxy coated",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Reducing Flange,,,,,,"ASME B16.5 Class 150 dimensions, PTFE lined Carbon Steel",,,,,,,,,,,,,,,,,,,,,,,,,,"ASME B16.47 Class 150 Series A dimensions, PTFE lined Carbon Steel",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,"FF/ASME B16.5 Class 150, ASTM A 105, epoxy coated (Note 4)",,,,,,,,,,,,,,,,,,,,,,,,,,"FF/ASME B16.47 Class 150 Ser. A, ASTM A 105, epoxy coated (Note 4)",,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"IBC, See 5-SPC-0003: Gaskets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002: Bolting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,Flanged/ASME B16.47 Class 150 Series A,,,,,,,,,,,,,,,,,,,,,
