# doc_id=5-SPC-SD3-R2 Stainless Steel Duct discipline=5 revision=R2
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,316L Stainless Steel Duct,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-SD3-R2,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,2.0,,39419.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T. Wacker,,,,,,,T. Wacker,,,,,,,O. Perez,,,,,,
,1.0,,39216.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Farah,,,,,,,T. Wacker,,,,,,,D. Shaw,,,,,,
,0.0,,38101.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K. Kamachi,,,,,,,J. Purdy,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,-29 to 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,
,,,,,,,Press.:,,,,kPag,,,81 (Note 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(mm)",,,,,,Nominal (Note 1),,,,,,15 to 150,,,,,,,,,200 to 500,,,,,,,,600 to 900,,,,,,,,1000 to 2100,,,,,,,,2200 to 3000,,,,,,,,,,,,,,
,,,,,,,Wall Thickness,,,,,,Schedule 40S,,,,,,,,,Schedule 10S,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,6.0,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASME B36.19M,,,,,,,,,,,,,,,,,Custom Design (Note 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 312 Gr. TP316L,,,,,,,,,,,,,,,,,ASTM A 240 Gr. 316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Butt Weld,,,,,,,,,,,,,,,,,Custom Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,ASME B16.9 (Schedule to match pipe),,,,,,,,,,,,,,,,,Custom Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 403 Gr. WP316L,,,,,,,,,,,,,,,,,ASTM A 240 Gr. 316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,RFSO/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,Flat Face/Custom Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,RF/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,Flat Face/Custom Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 182 Gr. F316L,,,,,,,,,,,,,,,,,ASTM A 240 Gr.316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"IBC, See 5-SPC-0003: Gaskets",,,,,,,,,,,,,,,,,"FF, See 5-SPC-0003: Gaskets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002: Bolting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,Butt Weld/Custom Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
