# doc_id=5-SPC-TT4-R1 Titanium Pipe Grade 2 Face Ring discipline=5 revision=R1
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Titanium Pipe - Grade 2 Face Ring,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-TT4-R1,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,1.0,,37806.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Mah,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,0.0,,37782.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K. Kamachi
D. Mah",,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,149,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,,,None,,
,,,,,,,Press.:,,,,kPag,,,621.0,,,,FV (see Note 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SIZE
(mm)",,,,,,Nominal (DN),,,,,,15,,20,,25,,32,,40,,50,,80,,100,,150,,200,,250,,,300,,,350,,,400,,,450,,,500,,,600,,,,,,,,,
,,,,,,,Wall Thk.,,,,,,Schedule 10S,,,,,,,,,,,,,,,,,,,,3.18 (custom),,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASME B36.19M,,,,,,,,,,,,,,,,,,,,Fabricated from sheet to ASME B36.19M and ASTM B862,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM B862 Grade 2 Titanium,,,,,,,,,,,,,,,,,,,,ASTM B265 Grade 2 Titanium,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Butt Weld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"ASME B16.9, Schedule to match pipe",,,,,,,,,,,,,,,,,,,,Fabricated from sheet to ASME B16.9 and ASTM B363. Schedule to match pipe.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM B363 Grade WPT2/W,,,,,,,,,,,,,,,,,,,,ASTM B265 Grade 2 Titanium,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Stub Ends,,,,,,"MSS SP-43 Type A Dimension, Schedule to match pipe, ASTM B862 Grade WPT2/W 
with Grade 2 face ring and weld filler metal, 3 mm minimum face ring thickness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,"LJ Flange, ASME B16.5 Class 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A105 Hot Dip Galvanized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,"ASME B16.5 Class 150 CS with 3 mm thick liner B265 Grade 2, IBC less 3 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"IBC, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,"RF Flanged, ASME B16.5 Class 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN LINE ITEM,,,,,,Type/Rating,,,,,,"RF Flanged, ASME B16.5 Class 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,"RF Flanged, ASME B16.5 Class 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"RF Flanged, ASME B16.5 Class 150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,"Branch connections as per Chemetics table BCON-14.  For lines in vacuum service, the material specification will be designated (V) TT4 and stiffeners are required as specified in BCON-14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Stub ends to be identified with a painted red stripe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 1 of 1,,,,,
