"# doc_id=5-SPC-VF6-R0 PVC Pipe, FRP Wrapped discipline=5 revision=R0"
|,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,"PVC Pipe, FRP Wrapped",,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-VF6-R0,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,0.0,,37748.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K. Kamachi
D. Mah",,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,32,,38,,43,,49,,54,,60,,,,54,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,None,,,,
,,,,,,,Press.:,,,,kPag,,,1034.0,,979.0,,793.0,,634,,476,,345,,,,FV (<= DN200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SIZE
(mm)",,,,,,Pipe Nominal (DN),,,,,,15,,,20,,,25,,,32,,,40,,,50,,,80,,,100,,,150,,,200,,,250,,,300,,,,,,,,,,,,,,
,,,,,,,Pipe Wall Thk.,,,,,,Schedule 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Overlay Thk,,,,,,3.3,,,3.3,,,3.3,,,3.3,,,3.3,,,4.3,,,4.3,,,4.3,,,4.3,,,4.3,,,4.3,,,4.3,,,,,,,,,,,,,,
,,,,,,,Overlay Material,,,,,,Fiber Glass Reinforced Vinyl Ester Resin (FRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASTM D1785-PVC1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM D1784 Class 12454-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Molded Socket Type Pressure Fittings + FRP overlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See Note 2,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"ASTM D2467-PVC 1, Sch. 80, Rating to meet or exceed service limits above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fitting Material,,,,,,ASTM D1784 Class 12454-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type,,,,,,"Van Stone or FF Serrated Face Solid Socket Type, FRP Overlay on Flange Hub only, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,Ratings will meet or exceed service limits above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,"FF, ASME B16.5 Class 150 Dimension, FRP Overlay on outside only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Flange Material,,,,,,ASTM D1784 Class 12454-B or PVC coated aluminum (backing flange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"FF, See 5-SPC-0003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN LINE ITEMS,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,"FF Flanged, ASME B16.5 Class 150 Dimension",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,Pressure / temperature limits based on NIBCO/Chemtrol for non-shock service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,"For pipe diameters > DN 200, fabricated fittings (not fully molded) with FRP outer reinforcement may be acceptable where service conditions permit, subject to Chemetics prior review and acceptance of the Vendor fabrication standard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Reinforcement will be an overlay of reinforced vinyl ester resin. Resin will be Derakane® 411 or approved equal.  Derakane® 510C with 5% antimony trioxide or equal to achieve an ASTM E84 Class 1 flame spread rating will be used in the last two layers of chopped strand mat. The reinforcement will be commercial grade, E type glass fiber with silane finish compatible with the resin system. The outside exposed surface of all reinforcement will be pigmented (colour to be confirmed) and contain UV inhibitors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,The outer surface of all substrate (PVC) piping will be treated prior to overlaying to ensure adhesion between the FRP reinforcement and the PVC pipe. Treatment will be Fabco #820 bonding agent or approved equal. Bonding agent will be applied in accordance with the manufacturer’s instructions. Reinforcement will be applied to lengths of piping to a thickness given by the table above (see ‘Overlay Thk’). The reinforcement may be applied by filament winding or hand lay up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
