# doc_id=8-LST-0101 discipline=8 revision=R0
Tag,Device,Scale / Calibration,Field/DCS Calibration Check,col_4,col_5,col_6,col_7,"DCS 
 Check",Initials KC,Initials Owner,col_11,Comments
,,,(OFF) 0%,0.25,0.5,0.75,(ON) 100%,,,,P&I REF.,
II-1101AP1,CURRENT INDICATOR,0 - 15 Amps,,,,,,,,,2330.0,
IT-1101AP1,CURRENT TRANSMITTER,0 - 15 Amps,,,,,,,,,2330.0,
XAL-1101AP1,RUN STATUS,On/Off,,n/a,n/a,,,,,,2330.0,
II-1101BP1,CURRENT INDICATOR,0 - 15 Amps,,,,,,,,,2330.0,
IT-1101BP1,CURRENT TRANSMITTER,0 - 15 Amps,,,,,,,,,2330.0,
XAL-1101BP1,RUN STATUS,On/Off,,n/a,n/a,,,,,,2330.0,
LAH-1101D1,LEVEL ALARM Hi,n/a,n/a,n/a,n/a,,n/a,,,,2330.0,
LAHH-1101D1,LEVEL ALARM HiHi,n/a,n/a,n/a,n/a,,n/a,,,,2330.0,Interlock
LAL-1101D1,LEVEL ALARM Lo,n/a,n/a,n/a,n/a,,n/a,,,,2330.0,
LALL-1101D1,LEVEL ALARM LoLo,n/a,n/a,n/a,n/a,,n/a,,,,2330.0,Interlock
LIC-1101D1,LEVEL CONTROLLER,0 - 100%,,,,,,,,,2330.0,
LT-1101D1,LEVEL TRANSMITTER,0 - 100%,,,,,,,,,2330.0,
YXA-1101D1,SAFETY SHOWER ALARM,On/Off,,n/a,n/a,,,,,,2340.0,
YXS-1101D1,SAFETY SHOWER SWITCH,On/Off,,n/a,n/a,,,,,,2340.0,Provided with Gas Seal Package
LG-1101D2,LEVEL GAUGE,0-100%,,,,,,,,,2330.0,
FAL-1101P1,FLOW ALARM Lo,n/a,n/a,n/a,n/a,,n/a,,,,2330.0,
FALL-1101P1,FLOW ALARM LoLo,n/a,n/a,n/a,n/a,,n/a,,,,2330.0,Interlock
FE-1101P1,MAGNETIC FLOW TUBE,0 - 70 usgpm,n/a,n/a,n/a,,n/a,,,,2330.0,
FIC-1101P1,FLOW CONTROLLER,0 - 70 usgpm,,,,,,,,,2330.0,
FT-1101P1,MAG FLOW TRANSMITTER,0 - 70 usgpm,,,,,,,,,2330.0,
FV-1101P1,CONTROL VALVE,0 - 100%,,,,,,,,,2330.0,
HS-1101P1,BYPASS LOW FLOW ALARM/STARTUP,On/Off,,n/a,n/a,,,,,,2330.0,
PSL-1101P1,PRESSURE SWITCH Lo,----------,----------,----------,----------,,----------,,----------,----------,2340.0,
TI-1101P1,TEMPERATURE GAUGE,0 - 100 °C,,,,,,,,,2330.0,
TW-1101P1,THERMOWELL,n/a,n/a,n/a,n/a,,n/a,,,,2330.0,
FO-1101P2,FLOW ORIFICE (Mechanical),n/a,n/a,n/a,n/a,,n/a,,,,2333.0,
FO-1101P3,FLOW ORIFICE (Mechanical),n/a,n/a,n/a,n/a,,n/a,,,,2330.0,
FO-1101P4,FLOW ORIFICE (Mechanical),n/a,n/a,n/a,n/a,,n/a,,,,2330.0,
PCV-1101P4,REGULATOR,n/a,n/a,n/a,n/a,,n/a,,,,2340.0,Provided with Gas Seal Package
FAH-1101P5,FLOW ALARM Hi,On/Off,,n/a,n/a,,,,,,2340.0,
FSH-1101P5,FLOW SWITCH Hi,On/Off,,n/a,n/a,,,,,,2340.0,Provided with Gas Seal Package
PAL-1101P5,PRESSURE ALARM Lo,On/Off,,n/a,n/a,,,,,,2340.0,
PSL-1101P5,PRESSURE SWITCH Lo,On/Off,,n/a,n/a,,,,,,2340.0,Provided with Gas Seal Package
