# doc_id=9-LST-0001 discipline=9 revision=R0
Document Number,Document Description,Revision
9-DST-0001,"T/R, CPU and PR Instrument Tag Numbers",
9-DST-0009,HCl Control Panel,
9-DST-9901,HV Power Transformer,
9-DST-9902,HV Outdoor Disconnect Switch,
9-DST-9903,HV Switchgear,
9-DST-9908,HV Harmonic Filter,
9-DST-9909,HV Power Factor Correction,
9-DST-9910,MV Power Transformer,
9-DST-9911,MV Switchgear,
9-DST-9912,MV Motor Control Centre,
9-DST-9916,MV Auto-transformer,
9-DST-9917,MV Variable Frequency Drive,
9-DST-9918,MV Cable Bus,
9-DST-9919,MV Power Factor Correction,
9-DST-9920,LV Power Transformer,
9-DST-9921,LV Power Distribution Centre,
9-DST-9922,LV Power Distribution Panel,
9-DST-9923,LV Motor Control Centre (MCC) - Normal Power,
9-DST-9924,LV Motor Control Centre (MCC) - Emergency Power,
9-DST-9925,LV Emergency Generator,
9-DST-9926,LV Emergency Generator Transfer Switch,
9-DST-9927,LV Variable Frequency Drive,
9-DST-9928,LV Cable Bus,
9-DST-9929,LV Power Factor Correction,
9-DST-9930,Utility Power and Lighting Distribution Transformer,
9-DST-9931,Utility Power and Lighting Distribution Panel,
9-DST-9932,Instrument Power Distribution Transformer,
9-DST-9933,Instrument Power Distribution Panel,
9-DST-9934,Un-interruptible Power Supply,
9-DST-9935,DC Control Power Supply,
9-DST-9936,DC Control Power Distribution Panel,
9-DST-9940,Electrolytic Power Supply Transformer,
9-DST-9941,Electrolyser Power Supply Auto-transformer,
9-DST-9942,Electrolytic Power Supply Rectifier,
9-DST-9943,Electrolytic Power Supply Bus Bars,
9-DST-9944,Electrolytic Power Supply Current Transformer,
9-DST-9945,Electrolytic Power Supply Current Shunt,
9-DST-9946,Electrolytic Power Supply DC Disconnect Switch,
9-DST-9947,Electrolyser Shorting Switch,
9-DST-9948,Electrolyser Shorting Cell,
9-DST-9949,Electrolyser Cathodic Protection Unit,
9-DST-9950,DC Motor Power Supply Transformer,
9-DST-9951,DC Motor Power Supply Rectifier,
9-DST-9952,DC Motor Power Supply Battery Bank,
9-DST-9953,DC Motor Power Distribution Panel,
9-DST-9960,Polarization Rectifier,
9-DST-XXXX,Large Induction Motors (Above NEMA Frame) Template,
9-DST-XXXX,Large Synchronous Motors Template,
9-DST-XXXX,"Induction Motors (600 Volts & Less, 200 Hp & Less) Template",
Note 1,Large Induction Motors (Above NEMA Frame),
Note 1,Large Synchronous Motors,
Note 1,"Induction Motors (600 Volts & Less, 200 Hp & Less)",
,Note 1:  The DST for the motor is the same number as the,
,driven equipment.,
