# doc_id=9-LST-0001 discipline=9 revision=R0
Document Number,col_1,col_2,Document Description,Revision
9-DTL-0000,to,9-DTL-0049,Index,
9-DTL-0050,to,9-DTL-0099,Legends,
9-DTL-0100,to,9-DTL-0149,Lighting,
9-DTL-0150,to,9-DTL-0199,Grounding,
9-DTL-0200,to,9-DTL-0249,Cables and Trays,
9-DTL-0250,to,9-DTL-0299,Lightning Protection,
9-DTL-0300,to,9-DTL-0349,Wiring,
9-DTL-0350,to,9-DTL-0399,Motor Installation,
9-DTL-0400,to,9-DTL-0449,Instrument Installation,
9-DTL-0450,to,9-DTL-0499,"Boxes, Cabinets, Panels",
9-DTL-0500,to,9-DTL-0549,Bus Bar,
9-DTL-0550,to,9-DTL-0599,Thermocouples etc.,
9-DTL-0600,to,9-DTL-0649,Push Button Stations,
9-DTL-0650,to,9-DTL-0699,Testing,
9-DTL-0700,to,9-DTL-0749,(required drawings not common for every project),
9-DTL-0750,to,9-DTL-0799,(required drawings not common for every project),
9-DTL-0800,to,9-DTL-0849,reserved,
9-DTL-0850,to,9-DTL-0899,reserved,
9-DTL-0900,to,9-DTL-0999,reserved,
9-DTL-1000,to,9-DTL-1500,Reserved for Chemetics electrical design standards,
