# doc_id=9-LST-0001 discipline=9 revision=R0
Document Number,col_1,col_2,Document Description,Revision
9-LST-0001,,,Electrical Document Numbering Standard,
9-LST-0002,,,Mumbai Electrical & Instrumentation Deliverables,
9-LST-0003,,,Electrical Design Audit Checklists,
9-LST-0100,to,9-LST-0199,Drawing List,
9-LST-0200,to,9-LST-0299,Electrical Equipment List,
9-LST-0300,to,9-LST-0399,Cable List (Electrical),
9-LST-0400,to,9-LST-0499,Cable List (Instrumentation),
9-LST-0500,to,9-LST-0599,Bulk Material List (Electrical),
9-LST-0600,to,9-LST-0699,Spare Parts List,
9-LST-0700,,9-LST-0701,Contractor Field Check List Grounding Systems,
,,9-LST-0702,Contractor Field Check List Lightning Protection System,
,,9-LST-0703,Contractor Field Check List Lighting System,
,,9-LST-0704,Contractor Field Check List Welding Receptacle System,
,,9-LST-0705,Contractor Field Check List Cable Tray System,
,,9-LST-0706,Contractor Field Check List Cable System,
,,9-LST-0707,Contractor Field Check List HV Switchgear System,
,,9-LST-0708,Contractor Field Check List Power Transformer System,
,,9-LST-0709,Contractor Field Check List LV Switchgear System,
,,9-LST-0710,Contractor Field Check List Motor System,
,,9-LST-0711,Contractor Field Check List Transf./ Rectifier System,
,,9-LST-0721,KC Specialist Field Check List Grounding System,
,,9-LST-0722,KC Specialist Field Check List Lightning Protection System,
,,9-LST-0723,KC Specialist Field Check List Lighting System,
,,9-LST-0724,KC Specialist Field Check List Welding Receptacle System,
,,9-LST-0725,KC Specialist Field Check List Cable Tray System,
,,9-LST-0726,KC Specialist Field Check List Cable System,
,,9-LST-0727,KC Specialist Field Check List HV Switchgear System,
,,9-LST-0728,KC Specialist Field Check List Power Transformer System,
,,9-LST-0729,KC Specialist Field Check List LV Switchgear System,
,,9-LST-0730,KC Specialist Field Check List Motor System,
,,9-LST-0731,KC Specialist Field Check List Transf./ Rectifier System,
9-LST-0800,,9-LST-0810,Hazardous Area Classification Table,
