# doc_id=9-LST-0001 discipline=9 revision=R0
Document Number,Document Description,Revision
9-PRC-0001,Electrical Equipment Identification,
9-PRC-0002,Electrical Design Criteria,
9-PRC-0003,Electrical Design and Specification,
9-PRC-0004,Electrical Systems Field Checkout,
9-PRC-0005,Definition Of Hazardous Areas (North American),
9-PRC-0006,Definition Of Hazardous Areas  (IEC),
9-PRC-0007,Electrical Grounding Design Criteria,
9-PRC-0008,Lighting Design Criteria,
9-PRC-0009,Lightning Protection Design Criteria,
9-PRC-0010,Heat Tracing Design Criteria,
9-PRC-0011,Bus Bar Design Criteria,
9-PRC-0012,Fire Detection Design Criteria,
9-PRC-0013,Alarm System Design Criteria,
9-PRC-0014,Communication System Design Criteria,
9-PRC-0015,Project Equipment Manuals (Handling & Storage),
9-PRC-0016,Testing And Calibration Devices (For Field Use On Projects),
9-PRC-0017,Project Filing System (E/I Dept Filing Only),
9-PRC-0018,Vendor Catalog Control,
9-PRC-0019,,
9-PRC-0020,Electrical Numbering System,
9-PRC-0021,Electrical Checking & Approval (Design Documents),
9-PRC-0022,Electrical Design Audit,
