# doc_id=9-LST-0001 discipline=9 revision=R0
Document Number,Document Description,Revision
9-SPC-0001,Welding Aluminum Bus,
9-SPC-0002,Bus Bar Installation,
9-SPC-0009,HCl Control Panel,
9-SPC-0010,Large Induction Motors (Above Nema Frame),
9-SPC-0011,Large Synchronous Motors,
9-SPC-0012,Medium Voltage Motors,
9-SPC-0013,"Induction Motors (600 Volts & Less, 200 Hp & Less)",
9-SPC-0014,Reserved for motor spec.,
9-SPC-0015,Motor Approval Tag,
9-SPC-0020,Electrical Construction,
9-SPC-0021,Grounding System Installation (Above Grade),
9-SPC-0022,Grounding System Installation (Below Grade),
9-SPC-0023,Lightning Protection Installation,
9-SPC-0024,Heat Tracing Installation,
9-SPC-0025,Fire Detection Installation,
9-SPC-0026,Alarm System Installation,
9-SPC-0027,Communication System Installation,
9-SPC-0028,Field Lockout And Tagout,
9-SPC-0029,Electrical Systems  Contractor Checkout,
9-SPC-0030,,
9-SPC-0031,,
9-SPC-0032,,
9-SPC-0040,Electrical Requirements For Mechanical Packages,
9-SPC-0050,Lighting Requirements,
9-SPC-0060,Low Voltage Cables,
9-SPC-0061,Medium Voltage Cables,
9-SPC-0080,Electrical Materials List,
9-SPC-9901,HV Power Transformer,
9-SPC-9902,HV Outdoor Disconnect Switch,
9-SPC-9903,HV Switchgear,
9-SPC-9908,HV Harmonic Filter,
9-SPC-9909,HV Power Factor Correction,
9-SPC-9910,MV Power Transformer,
9-SPC-9911,MV Switchgear,
9-SPC-9912,MV Motor Control Centre,
9-SPC-9913,MV Disconnect Switch,
9-SPC-9916,MV Auto-transformer,
9-SPC-9917,MV Variable Frequency Drive,
9-SPC-9918,MV Cable Bus,
9-SPC-9919,MV Power Factor Correction,
9-SPC-9920,LV Power Transformer,
9-SPC-9921,LV Power Distribution Centre,
9-SPC-9922,LV Power Distribution Panel,
9-SPC-9923,LV Motor Control Centre (MCC) - Normal Power,
9-SPC-9924,LV Motor Control Centre (MCC) - Emergency Power,
9-SPC-9925,LV Emergency Generator,
9-SPC-9926,LV Emergency Generator Transfer Switch,
9-SPC-9927,LV Variable Frequency Drive,
9-SPC-9928,LV Cable Bus,
9-SPC-9929,LV Power Factor Correction,
9-SPC-9930,Utility Power and Lighting Distribution Transformer,
9-SPC-9931,Utility Power and Lighting Distribution Panel,
9-SPC-9932,Instrument Power Distribution Transformer,
9-SPC-9933,Instrument Power Distribution Panel,
9-SPC-9934,Un-interruptible Power Supply,
9-SPC-9935,DC Control Power Supply,
9-SPC-9936,DC Control Power Distribution,
9-SPC-9940,Electrolytic Power Supply Transformer,
9-SPC-9941,Electrolyser Power Supply Auto-transformer,
9-SPC-9942,Electrolytic Power Supply Rectifier,
9-SPC-9943,Electrolytic Power Supply Bus Bars,
9-SPC-9944,Electrolytic Power Supply Current Transformer,
9-SPC-9945,Electrolytic Power Supply Current Shunt,
9-SPC-9946,Electrolytic Power Supply DC Disconnect Switch,
9-SPC-9947,Electrolyser Shorting Switch,
9-SPC-9948,Electrolyser Shorting Cell,
9-SPC-9949,Electrolyser Cathodic Protection Unit,
9-SPC-9950,DC Motor Power Supply Transformer,
9-SPC-9951,DC Motor Power Supply Rectifier,
9-SPC-9952,DC Motor Power Supply Battery Bank,
9-SPC-9953,DC Motor Power Distribution Panel,
9-SPC-9960,Polarization Rectifier,
